run,mae_deg,rmse_deg,p95_deg,max_deg,u_sat_ratio,zeta_growth,zeta_dot_p95,notes
paper-pure,10.4764281847,15.3671670425,31.7087774936,34.785156228,0.4501388889,0.7290088888,0.0117159111,Original zeta law only; crosses pi/2 and loses practical control authority
plus-tuned,1.2311233874,1.5133133908,2.5205596474,8.6928883147,0.0536111111,0.3394658906,0.0114642525,First successful paper-plus 300 s run
bestnow-fric-300,1.155651245,1.426384316,2.2823381284,9.0812856783,0.0144444444,0.1730272152,0.0111929757,Best friction-compensated baseline before final reduction
break-best-300,1.133372968,1.3745843326,2.3101400176,8.2057734228,0.0080555556,0.1344756016,0.0101430674,Reduced saturation but P95 not best
break-c12-300,1.1211160627,1.3329355118,2.2020738833,6.7526957659,0.0152777778,0.207794922,0.0104151156,Improved max error with moderate saturation
break-c12a-300,1.0535965087,1.2830060212,2.1447046205,6.5299840342,0.0122222222,0.1940096768,0.0093715407,Best final 300 s result used for manuscript baseline
