metric,value
duration_s,299.9584940000
mae_deg,10.4764281847
rmse_deg,15.3671670425
p95_deg,31.7087774936
max_deg,34.7851562280
min_abs_deg,0.0000000000
zeta_start,0.8856929670
zeta_end,1.6147018558
zeta_growth,0.7290088888
zeta_dot_mean,0.0024300296
zeta_dot_p95,0.0117159111
u_sat_ratio,0.4501388889
z=1.0,40.791764
z=1.2,104.750126
z=1.4,146.958571
z=pi/2,164.625151
