metric,value
duration_s,299.9584630000
mae_deg,1.6930584065
rmse_deg,2.5237172415
p95_deg,6.2066354200
max_deg,12.9036942596
min_abs_deg,0.0000000000
zeta_start,0.8856929670
zeta_end,1.0575308356
zeta_growth,0.1718378686
zeta_dot_mean,0.0005727929
zeta_dot_p95,0.0127160555
u_sat_ratio,0.1148611111
z=1.0,42.333437
z=1.2,never
z=1.4,never
z=pi/2,never
