metric,value
duration_s,299.9584300000
mae_deg,1.6894468915
rmse_deg,2.6579913194
p95_deg,6.4428361269
max_deg,13.8636252228
min_abs_deg,0.0000000000
zeta_start,0.8856929670
zeta_end,1.0449213365
zeta_growth,0.1592283695
zeta_dot_mean,0.0005307612
zeta_dot_p95,0.0111899745
u_sat_ratio,0.0965277778
z=1.0,33.666868
z=1.2,never
z=1.4,never
z=pi/2,never
