metric,value
duration_s,299.9585390000
mae_deg,1.1556512450
rmse_deg,1.4263843160
p95_deg,2.2823381284
max_deg,9.0812856783
min_abs_deg,0.0000000000
zeta_start,0.8856929670
zeta_end,1.0587201822
zeta_growth,0.1730272152
zeta_dot_mean,0.0005767574
zeta_dot_p95,0.0111929757
u_sat_ratio,0.0144444444
z=1.0,41.625113
z=1.2,never
z=1.4,never
z=pi/2,never
