metric,value
duration_s,299.9584450000
mae_deg,1.1333729680
rmse_deg,1.3745843326
p95_deg,2.3101400176
max_deg,8.2057734228
min_abs_deg,0.0000000000
zeta_start,0.8856929670
zeta_end,1.0201685686
zeta_growth,0.1344756016
zeta_dot_mean,0.0004482520
zeta_dot_p95,0.0101430674
u_sat_ratio,0.0080555556
z=1.0,64.250214
z=1.2,never
z=1.4,never
z=pi/2,never
