metric,value
duration_s,299.9584740000
mae_deg,9.5427513336
rmse_deg,11.3823393645
p95_deg,19.7996194091
max_deg,28.3332959575
min_abs_deg,0.0000000000
zeta_start,0.8856929670
zeta_end,1.2236903675
zeta_growth,0.3379974005
zeta_dot_mean,0.0011266580
zeta_dot_p95,0.0100740459
u_sat_ratio,0.7641666667
z=1.0,37.833461
z=1.2,263.708432
z=1.4,never
z=pi/2,never
