metric,value
duration_s,299.9584650000
mae_deg,1.4622683266
rmse_deg,2.0027577199
p95_deg,2.9463083926
max_deg,12.4910935430
min_abs_deg,0.0000000000
zeta_start,0.8856929670
zeta_end,1.2445287998
zeta_growth,0.3588358328
zeta_dot_mean,0.0011961194
zeta_dot_p95,0.0126713300
u_sat_ratio,0.0415277778
z=1.0,34.250221
z=1.2,103.166775
z=1.4,never
z=pi/2,never
