t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.000001,2.4405634335,2.4405634335,0.0000004672,0.0000000000,0.0000000000,0.0000004672,0.0000000000,0.0000004672,0.0000560595,-0.0000000000,0.4965219569,0.8860000000,0.0000000000,-0.0000000197,-0.0000000012,-0.0000000000,0.0000000033,0.0000000000,0.0419278226,-0.0000041395,-0.101,1.000000,18.1765949701,0,0.0000000000
0.008417,2.4405893251,2.4390294527,0.0030755336,0.0000000000,0.0015598723,0.0030755336,0.0000129989,0.0061862576,0.7422948539,0.0000000000,0.4965219569,0.8860000316,0.0000037887,-0.0002826823,-0.0000078435,-0.0000000000,0.0000214073,0.0000000000,0.0419278226,-0.0593632883,-0.041,1.000000,18.1765949701,0,0.0000042788
0.016777,2.4406662723,2.4390294527,0.0061241162,0.0000000000,0.0016368195,0.0061241162,0.0000266391,0.0094011072,0.3857819536,0.0000065891,0.4965219731,0.8860001045,0.0000087503,-0.0004195220,-0.0000156183,-0.0000000000,0.0000426265,0.0000000000,0.0419278226,-0.0880996179,-0.013,1.000000,18.1765949701,0,0.0000140923
0.029077,2.4408720659,2.4390294527,0.0105846447,0.0000000000,0.0018426132,0.0105846447,0.0000419942,0.0142854829,0.5861250781,0.0000217287,0.4965220105,0.8860002729,0.0000202079,-0.0006286954,-0.0000269940,-0.0000000000,0.0000736713,0.0000000000,0.0419278226,-0.1320260373,0.031,1.000000,18.1765949701,0,0.0000367058
0.036570,2.4410512263,2.4390294527,0.0132797846,0.0000000000,0.0020217735,0.0132797846,0.0000588423,0.0173530483,0.3681078525,0.0000566405,0.4965220968,0.8860005215,0.0000298288,-0.0007610617,-0.0000338675,-0.0000000000,0.0000924274,0.0000000000,0.0419278226,-0.1598229491,0.059,1.000000,18.1765949701,0,0.0000698157
0.043747,2.4412607961,2.4390294527,0.0158404247,0.0000000000,0.0022313433,0.0158404247,0.0000774368,0.0203482291,0.3594217000,0.0001078138,0.4965222243,0.8860008634,0.0000410356,-0.0008910750,-0.0000403979,-0.0000000000,0.0001102458,0.0000000000,0.0419278226,-0.1871257425,0.086,1.000000,18.1765949701,0,0.0001150310
0.050894,2.4415062153,2.4390294527,0.0183664246,0.0000000000,0.0024767626,0.0183664246,0.0000980765,0.0233819834,0.3640505121,0.0001777727,0.4965223996,0.8860013153,0.0000542222,-0.0010236009,-0.0000468399,-0.0000000000,0.0001278212,0.0000000000,0.0419278226,-0.2149561799,0.114,1.000000,18.1765949701,0,0.0001743720
0.058414,2.4418037524,2.4390294527,0.0209942564,0.0000000000,0.0027742996,0.0209942564,0.0001211957,0.0266235204,0.3889844350,0.0002696961,0.4965226314,0.8860019016,0.0000703635,-0.0011661612,-0.0000535417,-0.0000000000,0.0001461028,0.0000000000,0.0419278226,-0.2448938502,0.144,1.000000,18.1765949701,0,0.0002509194
0.066753,2.4421803762,2.4390294527,0.0238664886,0.0000000000,0.0031509235,0.0238664886,0.0001474534,0.0302696189,0.4375318242,0.0003884355,0.4965229320,0.8860026605,0.0000910646,-0.0013276828,-0.0000608668,-0.0000000000,0.0001660816,0.0000000000,0.0419278226,-0.2788133952,0.178,1.000000,18.1765949701,0,0.0003495046
0.075103,2.4426061639,2.4390294527,0.0266925343,0.0000000000,0.0035767111,0.0266925343,0.0001772593,0.0339706689,0.4441260045,0.0005415336,0.4965233212,0.8860036178,0.0001148716,-0.0014932543,-0.0000680740,-0.0000000000,0.0001857355,0.0000000000,0.0419278226,-0.3135834111,0.213,1.000000,18.1765949701,0,0.0004731892
