t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm,q_ref_base_rad,qdd_ref_rad_s2,disturb_jump_active,disturb_jump_rad,disturb_pulse_active,disturb_pulse_raw,disturb_event_count
0.666769,2.3847445309,2.4206216833,-0.5758100323,-0.0145624488,-0.0357602852,-0.5612475835,0.0013407362,-0.6309711443,-3.5827931478,0.2071871510,0.4976084213,0.8932065239,0.1218981215,0.0953291295,20.0191172019,-1.368,0,0.3316156150,2.3847445309,-2.7616793271,0,0.0000000000,0,0.000,0
0.708440,2.3584521863,2.4144857601,-0.6836961210,-0.0344363263,-0.0557572140,-0.6492597948,-0.0009824810,-0.7610046898,-3.1208050921,0.3836116284,0.5001656774,0.8932065239,0.0000000000,0.1852115430,38.8944240274,-1.883,0,0.3316156150,2.3584521863,-2.4163282145,0,0.0000000000,0,0.000,0
0.750134,2.3279457133,2.4022139138,-0.7772397855,-0.0596092740,-0.0737898217,-0.7176305115,-0.0040570569,-0.8682355674,-2.5735410620,0.3669579861,0.5001656774,0.8932065239,0.0000000000,0.1852115430,38.8944240274,-2.398,-1,0.3316156150,2.3279457133,-2.0707823520,0,0.0000000000,0,0.000,0
0.791799,2.2938652736,2.3746022596,-0.8563238897,-0.1297998051,-0.0796953112,-0.7265240846,-0.0073776949,-0.8921386154,-0.5736731531,0.3747945264,0.5001656774,0.8932065239,0.0000000000,0.1852115430,38.8944240274,-2.913,-1,0.3316156150,2.2938652736,-1.7254874044,0,0.0000000000,0,0.000,0
0.833474,2.2567787855,2.3347187592,-0.9210377369,-0.2500875991,-0.0759329601,-0.6709501378,-0.0105415682,-0.8322119113,1.4382408982,0.4085054901,0.5001656774,0.8932065239,0.0000000000,0.1852115430,38.8944240274,-3.428,-3,0.3316156150,2.2567787855,-1.3800954755,0,0.0000000000,0,0.000,0
0.875143,2.2173021699,2.2840973932,-0.9713497188,-0.3974485032,-0.0636056027,-0.5739012156,-0.0131918017,-0.7132868897,2.8542005189,0.4627837213,0.5001656774,0.8932065239,0.0000000000,0.1852115430,38.8944240274,-3.942,-2,0.3316156150,2.2173021699,-1.0347626205,0,0.0000000000,0,0.000,0
0.916950,2.1758895537,2.2288740848,-1.0073674383,-0.5532021268,-0.0485449500,-0.4541653115,-0.0152145079,-0.5656252870,3.5438784645,0.5278748548,0.5001656774,0.9015629942,0.2005552865,0.1816154095,38.1392359848,-4.457,-4,0.4870953371,2.1758895537,-0.6882831696,0,0.0000000000,0,0.000,0
0.958446,2.1335938894,2.1721167956,-1.0287931831,-0.7021923429,-0.0328876426,-0.3266008402,-0.0165848263,-0.4083059466,3.7756641699,0.8746316276,0.5042586479,0.9015629942,0.0000000000,0.1852115430,38.8944240274,-4.972,-3,0.4870953371,2.1335938894,-0.3443810091,0,0.0000000000,0,0.000,0
1.000123,2.0905178360,2.1153595065,-1.0359482959,-0.8275981472,-0.0181999949,-0.2083501488,-0.0173431595,-0.2616229525,3.5203918582,0.9657341924,0.5042586479,0.9045995346,0.0728769710,0.1354298785,28.4402744863,-5.487,-5,0.4928663315,2.0905178360,0.0010202848,0,0.0000000000,0,0.000,0
1.041825,2.0474177220,2.0570682366,-1.0286994365,-0.9248205030,-0.0022286060,-0.1038789335,-0.0174360180,-0.1255122843,3.2666560364,1.0624908638,0.5057099783,0.9053619202,0.0182972536,0.0687032237,14.4276769819,-6.002,-3,0.4611469043,2.0474177220,0.3466296966,0,0.0000000000,0,0.000,0
1.083622,2.0048251264,2.0018449282,-1.0069724109,-1.0037007803,0.0110351401,-0.0032716306,-0.0169762205,0.0019004296,3.0579051350,1.0627327950,0.5060713106,0.9053620950,0.0000041957,-0.0060888197,-1.2786521333,-5.487,-6,0.4199266513,2.0048251264,0.6930233544,0,0.0000000000,0,0.000,0
1.125213,1.9636426597,1.9496895814,-0.9709806272,-1.0631751672,0.0224853166,0.0921945400,-0.0160393324,0.1210396979,2.8593424381,1.0189169501,0.5060713933,0.9060445147,0.0163780711,-0.0733649169,-15.4066325485,-4.972,-5,0.3953109419,1.9636426597,1.0377145264,0,0.0000000000,0,0.000,0
1.166809,1.9242510030,1.9021361770,-0.9206463030,-1.0888078042,0.0308527724,0.1681615012,-0.0147538002,0.2148992139,2.2526283829,0.9980533038,0.5063937806,0.9081554924,0.0506634647,-0.1243557097,-26.1146990426,-4.457,-4,0.4024464532,1.9242510030,1.3824440699,0,0.0000000000,0,0.000,0
1.208465,1.8871999677,1.8607186957,-0.8558690967,-1.0915075630,0.0352408847,0.2356384663,-0.0132854300,0.2925432132,1.8634559848,1.0506540505,0.5073847680,0.9122550180,0.0983886147,-0.1762530481,-37.0131400957,-3.942,-5,0.4480262843,1.8871999677,1.7276704128,0,0.0000000000,0,0.000,0
1.250099,1.8531636451,1.8269711184,-0.7767561501,-1.0620282387,0.0347155606,0.2852720886,-0.0118389483,0.3425605233,1.2004154412,1.2046203429,0.5092819531,0.9122550180,0.0000000000,-0.1852115430,-38.8944240274,-3.428,-2,0.4480262843,1.8531636451,2.0727170311,0,0.0000000000,0,0.000,0
1.291795,1.8226776517,1.8054953873,-0.6831269814,-0.9883437768,0.0251139626,0.3052167955,-0.0107925332,0.3444618900,0.0456328003,1.2210817875,0.5092819531,0.9122550180,0.0000000000,-0.1852115430,-38.8944240274,-2.913,-3,0.4480262843,1.8226776517,2.4182794771,0,0.0000000000,0,0.000,0
1.333536,1.7963703357,1.7932235410,-0.5749654937,-0.8833182172,0.0102356374,0.3083527236,-0.0103660483,0.3184592233,-0.6240640007,1.2316765576,0.5092819531,0.9122550180,0.0000000000,-0.1852115430,-38.8944240274,-2.398,-3,0.4480262843,1.7963703357,2.7642125606,0,0.0000000000,0,0.000,0
1.375142,1.7749406386,1.7901555795,-0.4527867618,-0.7573886555,-0.0091367134,0.3046018937,-0.0103660483,0.2762204631,-1.0137302449,1.2343804083,0.5092819531,0.9122550180,0.0000000000,-0.1852115430,-38.8944240274,-1.883,-1,0.4480262843,1.7749406386,3.1090199080,0,0.0000000000,0,0.000,0
1.416919,1.7588382648,1.7916895603,-0.3156675912,-0.6190231132,-0.0278834850,0.3033555220,-0.0115278602,0.2365825638,-0.9513095824,1.2320227809,0.5092819531,0.9153591319,0.0744987350,-0.1625395214,-34.1332994887,-1.368,-2,0.4639747046,1.7588382648,3.4552538060,0,0.0000000000,0,0.000,0
1.458487,1.7488009348,1.7932235410,-0.1648787747,-0.4977132708,-0.0404283367,0.3328344961,-0.0132123742,0.2394758499,0.0694388657,1.2736202226,0.5106942313,0.9186390319,0.0787175999,-0.1722766563,-36.1780978185,-0.853,0,0.4797585004,1.7488009348,3.7997538994,0,0.0000000000,0,0.000,0
1.500099,1.7453292520,1.7947575218,0.0000000000,-0.3992898790,-0.0462238718,0.3992898790,-0.0132123742,0.2944169795,1.3185871119,1.3080998287,0.5121635081,0.9186390319,0.0000000000,-0.1852115430,-38.8944240274,-0.338,-1,0.4797585004,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.541780,1.7453292520,1.7962915026,0.0000000000,-0.3194351545,-0.0483987061,0.3194351545,-0.0152289869,0.2082514407,-2.0679729324,1.3168580690,0.5121635081,0.9211975152,0.0614035973,-0.1574509049,-33.0646900197,0.177,0,0.4801422373,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.583466,1.7453292520,1.7978254834,0.0000000000,-0.2546459117,-0.0504526363,0.2546459117,-0.0173311801,0.1373071394,-1.7026632300,1.3212755984,0.5132930579,0.9223132107,0.0267766928,-0.1059326924,-22.2458654090,0.692,0,0.4560703977,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.625132,1.7453292520,1.8008934450,0.0000000000,-0.2020798799,-0.0539424530,0.2020798799,-0.0195787823,0.0755898200,-1.4812156660,1.2516704820,0.5137810491,0.9226347712,0.0077174532,-0.0579984158,-12.1796673077,1.207,0,0.4209977516,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.666776,1.7453292520,1.8070293681,0.0000000000,-0.1458582673,-0.0605295682,0.1458582673,-0.0221008477,0.0037925386,-1.7231347534,1.1456519222,0.5139211771,0.9226355172,0.0000179022,-0.0074802097,-1.5708440454,1.721,0,0.3833777448,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.708473,1.7453292520,1.8177672336,0.0000000000,-0.0911949889,-0.0717061198,0.0911949889,-0.0250886027,-0.0760239882,-1.9155966423,1.0265994373,0.5139215018,0.9229065809,0.0065055307,0.0404003498,8.4840734616,1.207,1,0.3547288685,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.750129,1.7453292520,1.8377089839,0.0000000000,-0.0106505531,-0.0922942586,0.0106505531,-0.0289341968,-0.2012666074,-3.0058228612,0.9172964646,0.5140394435,0.9246219198,0.0411681330,0.1047265865,21.9925831668,0.692,1,0.3610832398,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.791778,1.7453292520,1.8607186957,0.0000000000,0.0863680228,-0.1160825680,-0.0863680228,-0.0337709704,-0.3503193766,-3.5772664617,0.8875971511,0.5147819587,0.9296668383,0.1210780449,0.1813075645,38.0745885394,0.177,1,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.833487,1.7453292520,1.8745245228,0.0000000000,0.1560344675,-0.1304474852,-0.1560344675,-0.0392062823,-0.4538887638,-2.4856652931,1.0406981976,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-0.338,1,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.875134,1.7453292520,1.8760585036,0.0000000000,0.1627908229,-0.1320356874,-0.1627908229,-0.0447077693,-0.4692292818,-0.3681724305,1.0365374198,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-0.853,0,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.916772,1.7453292520,1.8745245228,0.0000000000,0.1366027731,-0.1302915411,-0.1366027731,-0.0501365835,-0.4449331537,0.5831070731,1.0480448637,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-1.368,0,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
1.958457,1.7453292520,1.8745245228,0.0000000000,0.1108311411,-0.1300847176,-0.1108311411,-0.0555567801,-0.4240992084,0.5000146882,1.0568474427,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-1.883,-1,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.000121,1.7453292520,1.8760585036,0.0000000000,0.0899216139,-0.1314508943,-0.0899216139,-0.0610339007,-0.4113086914,0.3069724081,1.0616165559,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-2.398,-2,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.041985,1.7453292520,1.8760585036,0.0000000000,0.0729569016,-0.1313147484,-0.0729569016,-0.0665053485,-0.3994726585,0.2840647885,1.0672339246,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-2.913,-2,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.083612,1.7453292520,1.8760585036,0.0000000000,0.0591927709,-0.1312042879,-0.0591927709,-0.0719721939,-0.3908836960,0.2061351005,1.0717943432,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-3.428,-3,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.125223,1.7453292520,1.8745245228,0.0000000000,0.0480253965,-0.1295806862,-0.0480253965,-0.0773713891,-0.3818185070,0.2175645364,1.0777565081,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-3.942,-3,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.166808,1.7453292520,1.8745245228,0.0000000000,0.0389648715,-0.1295079733,-0.0389648715,-0.0827675547,-0.3779383989,0.0931225942,1.0808568109,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-4.457,-2,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.208541,1.7453292520,1.8729905420,0.0000000000,0.0316137152,-0.1279149977,-0.0316137152,-0.0880973462,-0.3726817874,0.1261586754,1.0856790870,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-4.972,-4,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.250100,1.7453292520,1.8699225804,0.0000000000,0.0211251872,-0.1247628632,-0.0211251872,-0.0932957989,-0.3610605483,0.2789097379,1.0935548159,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-5.487,-5,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.291875,1.7453292520,1.8637866573,0.0000000000,-0.0009573106,-0.1184497226,0.0009573106,-0.0982312040,-0.3313056525,0.7141174988,1.1087808208,0.5169270053,0.9296668383,0.0000000000,0.1852115430,38.8944240274,-6.002,-4,0.4386087979,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.333436,1.7453292520,1.8515148110,0.0000000000,-0.0369706959,-0.1058888602,0.0369706959,-0.1026432398,-0.2746907807,1.3587569252,1.1354837348,0.5169270053,0.9335479852,0.0931475252,0.1738396064,36.5063173475,-6.517,-5,0.4703748302,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.375145,1.7453292520,1.8346410223,0.0000000000,-0.0933352502,-0.0885627323,0.0933352502,-0.1063333537,-0.1875449853,2.0914990876,1.2555110239,0.5185374223,0.9355330752,0.0476421590,0.1280634257,26.8933193937,-7.032,-6,0.4624327210,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.416870,1.7453292520,1.8146992721,0.0000000000,-0.1526387518,-0.0681450571,0.1526387518,-0.1091727310,-0.0904786272,2.3295925950,1.2713604051,0.5193475639,0.9360005019,0.0112182421,0.0584313046,12.2705739578,-7.547,-7,0.4292708685,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.458455,1.7453292520,1.7932235410,0.0000000000,-0.2098024865,-0.0462105733,0.2098024865,-0.1110981716,0.0083633400,2.3722072128,1.2110914971,0.5195369852,0.9360043200,0.0000916345,-0.0093028703,-1.9536027550,-7.032,-6,0.3909687726,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.500254,1.7453292520,1.7702138292,0.0000000000,-0.2652301453,-0.0227560411,0.2652301453,-0.1120463400,0.1094535422,2.4261648533,1.1273984931,0.5195385303,0.9366164981,0.0146922739,-0.0697391994,-14.6452318723,-6.517,-6,0.3685713355,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
