t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.000002,2.4451653759,2.4436313951,0.0000018281,0.0000000000,0.0015339808,0.0000018281,0.0000127832,0.0030609188,0.3673102507,-0.0000000000,0.4965219569,0.8860000077,0.0000009276,-0.0001504488,-0.0000000018,-0.0000000000,0.0000000127,0.0000000000,0.0946843488,-0.0315942479,-0.343,1.000000,47.9410743608,0,0.0000010418
0.008423,2.4452431716,2.4436313951,0.0092337815,0.0000000000,0.0016117765,0.0092337815,0.0000262146,0.0124606185,1.1279639660,0.0000015983,0.4965219608,0.8860001358,0.0000153717,-0.0005482502,-0.0000093005,-0.0000000000,0.0000642698,0.0000000000,0.0946843488,-0.1151325392,-0.259,1.000000,47.9410743608,0,0.0000183322
0.016754,2.4454730554,2.4451653759,0.0183474746,0.0000000000,0.0003076795,0.0183474746,0.0000287786,0.0189869032,0.7831541728,0.0000281333,0.4965220265,0.8860004333,0.0000356999,-0.0008058900,-0.0000184801,-0.0000000000,0.0001276894,0.0000000000,0.0946843488,-0.1692369039,-0.205,1.000000,47.9410743608,0,0.0000582070
0.025104,2.4458557449,2.4436313951,0.0274436830,0.0000000000,0.0022243498,0.0274436830,0.0000473149,0.0319078964,1.5505191808,0.0000897447,0.4965221791,0.8860012740,0.0001008846,-0.0013789179,-0.0000276421,-0.0000000000,0.0001909588,0.0000000000,0.0946843488,-0.2895727529,-0.085,1.000000,47.9410743608,0,0.0001712366
0.033432,2.4463888498,2.4436313951,0.0364607398,0.0000000000,0.0027574547,0.0364607398,0.0000702937,0.0420063578,1.2118153695,0.0002646828,0.4965226102,0.8860027337,0.0001751559,-0.0018167382,-0.0000367243,-0.0000000000,0.0002536358,0.0000000000,0.0946843488,-0.3815150316,0.007,1.000000,47.9410743608,0,0.0003663740
0.041771,2.4470732959,2.4451653759,0.0454131988,0.0000000000,0.0019079200,0.0454131988,0.0000861930,0.0492873185,0.8737152838,0.0005665323,0.4965233587,0.8860047493,0.0002418710,-0.0021208135,-0.0000457415,-0.0000000000,0.0003158090,0.0000000000,0.0946843488,-0.4453708382,0.071,1.000000,47.9410743608,0,0.0006327920
0.050094,2.4479059498,2.4451653759,0.0542557764,0.0000000000,0.0027405739,0.0542557764,0.0001090311,0.0598060662,1.2622497185,0.0009809610,0.4965243923,0.8860077293,0.0003576085,-0.0025917992,-0.0000546480,-0.0000000000,0.0003771525,0.0000000000,0.0946843488,-0.5442778328,0.170,1.000000,47.9410743608,0,0.0010244045
0.058435,2.4488889956,2.4436313951,0.0630046598,0.0000000000,0.0052576005,0.0630046598,0.0001528445,0.0735969665,1.6549080407,0.0015953829,0.4965259204,0.8860122700,0.0005448762,-0.0032382689,-0.0000634601,-0.0000000000,0.0004377682,0.0000000000,0.0946843488,-0.6800364664,0.306,1.000000,47.9410743608,0,0.0016190899
0.066745,2.4500150125,2.4436313951,0.0715910026,0.0000000000,0.0063836174,0.0715910026,0.0002060413,0.0844720336,1.3050080454,0.0025277773,0.4965282488,0.8860183071,0.0007244539,-0.0037611836,-0.0000721086,-0.0000000000,0.0004971707,0.0000000000,0.0946843488,-0.7898485578,0.416,1.000000,47.9410743608,0,0.0023996891
0.075083,2.4512903846,2.4436313951,0.0800578030,0.0000000000,0.0076589895,0.0800578030,0.0002698662,0.0955346574,1.3275148567,0.0037556897,0.4965313444,0.8860261224,0.0009378379,-0.0043186638,-0.0000806366,-0.0000000000,0.0005556502,0.0000000000,0.0946843488,-0.9069193897,0.533,1.000000,47.9410743608,0,0.0033948057
0.083422,2.4527100382,2.4451653759,0.0883590912,0.0000000000,0.0075446623,0.0883590912,0.0003327384,0.1036708870,0.9763475512,0.0053149951,0.4965353518,0.8860354652,0.0011211413,-0.0047568624,-0.0000889979,-0.0000000000,0.0006128834,0.0000000000,0.0946843488,-0.9989411105,0.625,1.000000,47.9410743608,0,0.0045568968
0.091784,2.4542760755,2.4451653759,0.0964965182,0.0000000000,0.0091106996,0.0964965182,0.0004086609,0.1149933273,1.3586928404,0.0071516013,0.4965401422,0.8860471627,0.0014036920,-0.0053922516,-0.0000971941,-0.0000000000,0.0006688778,0.0000000000,0.0946843488,-1.1323728355,0.758,1.000000,47.9410743608,0,0.0059835256
0.100086,2.4559704083,2.4451653759,0.1043757696,0.0000000000,0.0108050324,0.1043757696,0.0004987028,0.1263263094,1.3599578533,0.0094127191,0.4965461397,0.8860615801,0.0017300866,-0.0060774039,-0.0001051303,-0.0000000000,0.0007229835,0.0000000000,0.0946843488,-1.2762548177,0.902,1.000000,47.9410743608,0,0.0077008555
0.108420,2.4578083553,2.4451653759,0.1120657572,0.0000000000,0.0126429794,0.1120657572,0.0006040610,0.1377703481,1.3732846446,0.0121424797,0.4965535314,0.8860791597,0.0021095586,-0.0068276214,-0.0001128759,-0.0000000000,0.0007756749,0.0000000000,0.0946843488,-1.4338004836,1.060,1.000000,47.9410743608,0,0.0097380477
0.116760,2.4597824682,2.4466993567,0.1195235883,0.0000000000,0.0130831115,0.1195235883,0.0007130869,0.1462097864,1.0127325876,0.0153584631,0.4965625438,0.8860995320,0.0024446754,-0.0074760282,-0.0001203877,-0.0000000000,0.0008266597,0.0000000000,0.0946843488,-1.5699659142,1.196,1.000000,47.9410743608,0,0.0120140380
0.125193,2.4619132328,2.4466993567,0.1268066912,0.0000000000,0.0152138761,0.1268066912,0.0008398692,0.1578496013,1.3967777896,0.0189911194,0.4965729871,0.8861240314,0.0029399253,-0.0083722651,-0.0001277234,-0.0000000000,0.0008763328,0.0000000000,0.0946843488,-1.7581756810,1.384,1.000000,47.9410743608,0,0.0146614724
0.133428,2.4641217915,2.4466993567,0.1336522449,0.0000000000,0.0174224348,0.1336522449,0.0009850562,0.1692245141,1.3649895402,0.0232263540,0.4965855450,0.8861531996,0.0035001883,-0.0093483139,-0.0001346185,-0.0000000000,0.0009229102,0.0000000000,0.0946843488,-1.9631459213,1.589,1.000000,47.9410743608,0,0.0176961049
