t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.116766,2.4358009625,2.4221556641,0.0580257432,-0.0919116256,0.0139349625,0.1499373687,0.0009386163,0.1785377259,-1.6497491080,0.0965956284,0.4968655739,0.8867229045,0.0062347514,-0.0169478589,-0.0002229596,-0.0000000000,0.0004032825,0.0000000000,0.0350197475,-3.5590503697,3.448,1.000000,40.7674416119,6,0.0621115324
0.125097,2.4371424716,2.4206216833,0.0523820916,-0.0833646241,0.0167835161,0.1357467157,0.0010784789,0.1701422118,-1.0074616999,0.1009470480,0.4968921454,0.8867711390,0.0057881416,-0.0165498277,-0.0002018579,-0.0000000000,0.0003641604,0.0495353000,0.0350197475,-3.4754638270,3.364,1.000000,40.7674416119,1,0.0644201151
0.133425,2.4384586083,2.4206216833,0.0450944547,-0.0756124213,0.0180752214,0.1207068759,0.0012291057,0.1578162242,-1.4791185136,0.1044096668,0.4969168088,0.8868133566,0.0050661131,-0.0156561464,-0.0001794934,-0.0000000000,0.0003135965,0.1005310453,0.0350197475,-3.2877907356,3.176,1.000000,40.7674416119,1,0.0662018881
0.141757,2.4397313494,2.4206216833,0.0361613630,-0.0685811075,0.0193258029,0.1047424706,0.0013901541,0.1444942753,-1.5986338678,0.1069635524,0.4969383918,0.8868491918,0.0043002297,-0.0145630154,-0.0001557540,-0.0000000000,0.0002515557,0.1631363738,0.0350197475,-3.0582332389,2.947,1.000000,40.7674416119,2,0.0674698344
0.150093,2.4409411627,2.4221556641,0.0256056135,-0.0622036463,0.0189815366,0.0878092598,0.0015483336,0.1270333242,-2.0953141269,0.1084065799,0.4969567091,0.8868770837,0.0033470165,-0.0129343144,-0.0001305740,-0.0000000000,0.0001781769,0.1447526911,0.0350197475,-2.7162060273,2.607,1.000000,40.7674416119,3,0.0681479340
0.158428,2.4420680322,2.4221556641,0.0134766714,-0.0564192349,0.0200901762,0.0698959063,0.0017157517,0.1114868115,-1.8655815256,0.1090625226,0.4969709644,0.8868986343,0.0025860734,-0.0114555380,-0.0001039365,-0.0000000000,0.0000937975,0.2067035133,0.0350197475,-2.4056629731,2.294,1.000000,40.7674416119,4,0.0683752075
0.166761,2.4430931778,2.4206216833,-0.0001628430,-0.0511727247,0.0226327679,0.0510098817,0.0019043581,0.0978363492,-1.6380554714,0.1091677098,0.4969819776,0.8869152390,0.0019925712,-0.0101510860,-0.0000758526,-0.0000000000,-0.0000011335,0.3722261170,0.0350197475,-2.1317280671,2.020,1.000000,40.7674416119,2,0.0682634879
0.175091,2.4439982251,2.4206216833,-0.0152289623,-0.0464140954,0.0235228182,0.0311851331,0.0021003816,0.0799725291,-2.1436584133,0.1084496300,0.4969904627,0.8869262954,0.0013267660,-0.0083713636,-0.0000463729,-0.0000000000,-0.0001059910,0.4348627747,0.0350197475,-1.7579863591,1.681,1.000000,40.7674416119,1,0.0677815638
0.183427,2.4447666226,2.4206216833,-0.0316421228,-0.0420979783,0.0242776132,0.0104558555,0.0023026950,0.0609417655,-2.2836916368,0.1070899028,0.4969961123,0.8869326737,0.0007653970,-0.0064697611,-0.0000155481,-0.0000000000,-0.0002201479,0.4887568101,0.0350197475,-1.3586498362,1.341,1.000000,40.7674416119,2,0.0669962920
0.191760,2.4453808239,2.4221556641,-0.0492696814,-0.0381832235,0.0233454961,-0.0110864579,0.0024972408,0.0377400992,-2.7841999476,0.1049769445,0.4969993714,0.8869350948,0.0002905274,-0.0041615657,0.0000164858,0.0000000000,-0.0003425714,0.4222792368,0.0350197475,-0.8739288052,1.001,1.000000,40.7674416119,1,0.0659608427
0.200093,2.4458257198,2.4221556641,-0.0679898419,-0.0346325076,0.0237792018,-0.0333573343,0.0026954009,0.0165259578,-2.5456969727,0.1026568741,0.4970006084,0.8869355537,0.0000550740,-0.0021060829,0.0000496030,0.0000000000,-0.0004722682,0.4531211679,0.0350197475,-0.4422773996,0.661,1.000000,40.7674416119,1,0.0648126134
0.208422,2.4460868858,2.4221556641,-0.0876427564,-0.0314119782,0.0240302181,-0.0562307782,0.0028956527,-0.0056515095,-2.6612960816,0.1001261308,0.4970008429,0.8869356067,0.0000063600,-0.0000092549,0.0000836162,0.0000000000,-0.0006079489,0.4710519963,0.0350197475,-0.0019435236,0.322,1.000000,40.7674416119,0,0.0636576086
0.216765,2.4461517710,2.4206216833,-0.1081133700,-0.0284909307,0.0256198783,-0.0796224393,0.0031091517,-0.0256755850,-2.4028890602,0.0977716369,0.4970008700,0.8869366877,0.0001297189,0.0018315611,0.0001184000,0.0000000000,-0.0007486080,0.5845261290,0.0350197475,0.3846278218,-0.018,1.000000,40.7674416119,0,0.0625932421
0.225097,2.4460088131,2.4206216833,-0.1291694815,-0.0258415158,0.0254685707,-0.1033279657,0.0033213897,-0.0494723313,-2.8556095457,0.0953150703,0.4970014223,0.8869406510,0.0004755884,0.0039735284,0.0001536506,0.0000000000,-0.0008924218,0.5738113742,0.0350197475,0.8344409641,-0.358,1.000000,40.7674416119,0,0.0617451624
0.233429,2.4456486844,2.4206216833,-0.1506510712,-0.0234384741,0.0251008686,-0.1272125971,0.0035305637,-0.0738809633,-2.9290358390,0.0931722149,0.4970034473,0.8869493922,0.0010489522,0.0061219198,0.0001891675,0.0000000000,-0.0010380678,0.5476529097,0.0350197475,1.2856031679,-0.698,1.000000,40.7674416119,0,0.0612399842
0.241756,2.4450641656,2.4206216833,-0.1723480695,-0.0212588948,0.0245094808,-0.1510891746,0.0037348093,-0.0987306407,-2.9819612909,0.0915371194,0.4970079135,0.8869648698,0.0018573062,0.0082792756,0.0002246724,0.0000000000,-0.0011839045,0.5053621713,0.0350197475,1.7386478854,-1.037,1.000000,40.7674416119,0,0.0612042152
0.250093,2.4442481081,2.4206216833,-0.1941004653,-0.0192819980,0.0236871930,-0.1748184673,0.0039322026,-0.1238983576,-3.0201260276,0.0905961610,0.4970158210,0.8869891236,0.0029104533,0.0104626466,0.0002599583,0.0000000000,-0.0013286668,0.4465611289,0.0350197475,2.1971557918,-1.377,1.000000,40.7674416119,0,0.0617618257
0.258424,2.4431983594,2.4190877025,-0.2156512552,-0.0174889357,0.0241657741,-0.1981623194,0.0041335841,-0.1460931756,-2.6633781657,0.0907416253,0.4970282114,0.8870228710,0.0040496965,0.0124487620,0.0002946710,0.0000000000,-0.0014705016,0.4807503122,0.0350197475,2.6142400284,-1.717,1.000000,40.7674416119,0,0.0629374994
0.266759,2.4419119836,2.4175537217,-0.2368139430,-0.0158626131,0.0244082537,-0.2209513299,0.0043369862,-0.1682000572,-2.6528257956,0.0917924185,0.4970454499,0.8870678523,0.0053977578,0.0145063896,0.0003285587,0.0000000000,-0.0016081021,0.4981124050,0.0350197475,3.0463418058,-2.056,1.000000,40.7674416119,-2,0.0648126968
0.275088,2.4403910572,2.4160197409,-0.2573453044,-0.0166175378,0.0244236873,-0.2407277665,0.0045405169,-0.1877451514,-2.3454113006,0.0939591892,0.4970684232,0.8871245313,0.0068014722,0.0164461967,0.0003579667,0.0000000000,-0.0017398801,0.4992177534,0.0350197475,3.4537013020,-2.396,1.000000,40.7674416119,-1,0.0673702144
