t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.116764,2.4640849303,2.4344275104,-0.3233769416,-0.0072897556,0.0296768349,-0.3160871860,0.0020368459,-0.2572507369,-10.9894560924,0.0266603410,0.4964925317,0.8860372185,0.0113512304,0.0167329790,0.0129905770,0.0000000000,-0.0054117718,0.0182391802,0.1611595156,3.5139255808,-2.370,1.000000,61.5638456396,-2,0.0256004905
0.125089,2.4625802815,2.4344275104,-0.4163976462,-0.0076936456,0.0281732618,-0.4087040006,0.0022716231,-0.3525372236,-11.4343784055,0.0340083966,0.4965410411,0.8862224760,0.0222309001,0.0246997242,0.0167969505,0.0000000000,-0.0067139794,0.0060702908,0.1611595156,5.1869420754,-2.883,1.000000,61.5638456396,-1,0.0371957874
0.133667,2.4599828481,2.4328935296,-0.5105466563,-0.0080877622,0.0271108588,-0.5024588941,0.0024975469,-0.4481231785,-11.4703145884,0.0473890778,0.4966359936,0.8865442051,0.0386074944,0.0349410285,0.0206500968,0.0000000000,-0.0078738249,0.0013461386,0.1611595156,7.3376159869,-3.396,1.000000,61.5638456396,-2,0.0552020042
0.142086,2.4563967790,2.4313595488,-0.5973724540,-0.0090526294,0.0250613403,-0.5883198246,0.0027063914,-0.5377255310,-10.7522822927,0.0674448858,0.4968007324,0.8870557825,0.0613892962,0.0479176726,0.0241788163,0.0000000000,-0.0087994546,0.0000000000,0.1611595156,10.0627112382,-3.909,1.000000,61.5638456396,-2,0.0799754738
0.150090,2.4520671815,2.4282915872,-0.6712390777,-0.0099941487,0.0238022119,-0.6612449291,0.0029047432,-0.6128846774,-9.0190975739,0.0942674198,0.4970622592,0.8878043238,0.0898249500,0.0633682979,0.0271758982,0.0000000000,-0.0094816104,0.0000000000,0.1611595156,13.3073425556,-4.422,1.000000,61.5638456396,-4,0.1108032023
0.158435,2.4466681330,2.4252236256,-0.7356705992,-0.0114931724,0.0214751174,-0.7241774267,0.0030837025,-0.6801188891,-8.0681054055,0.1262968011,0.4974439897,0.8888495681,0.1254293188,0.0817376401,0.0297623032,0.0000000000,-0.0100022920,0.0000000000,0.1611595156,17.1649044247,-4.935,1.000000,61.5638456396,-3,0.1472137980
0.166729,2.4405149085,2.4221556641,-0.7835924449,-0.0141164974,0.0183968412,-0.7694759475,0.0032370095,-0.7311845377,-6.1278778315,0.1637203247,0.4979751625,0.8902243975,0.1649795215,0.1020120591,0.0316239855,0.0000000000,-0.0103476801,0.0000000000,0.1611595156,21.4225324161,-5.448,1.000000,61.5638456396,-5,0.1878535934
0.175083,2.4336670386,2.4175537217,-0.8125239164,-0.0178369178,0.0161608223,-0.7946869986,0.0033716830,-0.7605632826,-3.5254493812,0.2068045270,0.4986704994,0.8919196128,0.2034258439,0.1228381132,0.0326601113,0.0000000000,-0.0105399627,0.0000000000,0.1611595156,25.7960037664,-5.961,1.000000,61.5638456396,-5,0.2308167049
0.183425,2.4263556936,2.4129517793,-0.8194090234,-0.0226278862,0.0134641796,-0.7967811372,0.0034838845,-0.7677299145,-0.8599958303,0.2551980510,0.4995226489,0.8938846226,0.2358011753,0.1428397891,0.0327461764,0.0000000000,-0.0105839937,0.0000000000,0.1611595156,29.9963557185,-6.474,1.000000,61.5638456396,-6,0.2740706065
0.191774,2.4187691092,2.4068158562,-0.8022347273,-0.0284634974,0.0120290604,-0.7737712300,0.0035841267,-0.7473821965,2.4417261540,0.3099742752,0.5005031505,0.8960018268,0.2540644964,0.1596676988,0.0318005133,0.0000000000,-0.0104729353,0.0000000000,0.1611595156,33.5302167557,-6.987,1.000000,61.5638456396,-4,0.3150858414
0.200099,2.4111630330,2.4006799330,-0.7597905402,-0.0358987605,0.0105787099,-0.7238917796,0.0035841267,-0.7002864916,5.6514845908,0.3702584661,0.5015507988,0.8960018268,0.0000000000,0.1611595156,0.0297505636,0.0000000000,-0.0101804291,0.0000000000,0.1611595156,33.8434982744,-7.500,1.000000,61.5638456396,-5,0.3150858414
0.208433,2.4037469636,2.3945440099,-0.6913792099,-0.0448949672,0.0093225235,-0.6464842427,0.0036618144,-0.6252184799,9.0081614100,0.3898996528,0.5015507988,0.8977438162,0.2090387269,0.1580394770,0.0265692623,0.0000000000,-0.0096515684,0.0000000000,0.1611595156,33.1882901634,-8.013,1.000000,61.5638456396,-8,0.3445974046
0.216769,2.3967769925,2.3868741060,-0.5972321501,-0.0554143458,0.0100504728,-0.5418178043,0.0037455683,-0.5190777081,12.7368926061,0.4544399430,0.5024058913,0.8990894651,0.1614778710,0.1474934316,0.0222676725,0.0000000000,-0.0087980685,0.0000000000,0.1611595156,30.9736206356,-8.526,1.000000,61.5638456396,-6,0.3642556073
0.225097,2.3905101092,2.3776702212,-0.4785601423,-0.0674200387,0.0130194492,-0.4111401037,0.0038540638,-0.3826015489,16.3771391068,0.5147177421,0.5030621469,0.8998940684,0.0965524044,0.1194534994,0.0168970696,0.0000000000,-0.0074980511,0.0000000000,0.1611595156,25.0852348762,-9.039,1.000000,61.5638456396,-8,0.3727758515
0.233425,2.3851802232,2.3700003173,-0.3371967864,-0.0808760800,0.0153953050,-0.2563207064,0.0039823580,-0.2231038710,19.1397213504,0.5605387057,0.5034527491,0.9001866662,0.0351117347,0.0736179811,0.0105342894,0.0000000000,-0.0056146170,0.0000000000,0.1611595156,15.4597760407,-9.552,1.000000,61.5638456396,-7,0.3715505178
0.241778,2.3810028569,2.3607964326,-0.1754059499,-0.0957473742,0.0204614304,-0.0796585757,0.0041528699,-0.0365609805,22.3851468634,0.5877386148,0.5035944598,0.9001948269,0.0009792759,0.0104265896,0.0032738147,0.0000000000,-0.0030620503,0.0000000000,0.1611595156,2.1895838082,-9.039,1.000000,61.5638456396,-9,0.3650613513
0.250108,2.3782035524,2.3515925478,0.0023835015,-0.1119996752,0.0269092958,0.1143831768,0.0043771140,0.1700630754,24.7948866980,0.5935679532,0.5035984096,0.9003727983,0.0213565673,-0.0632035420,-0.0047009292,-0.0000000000,0.0000423800,0.0008288959,0.1611595156,-13.2727438263,-8.526,1.000000,61.5638456396,-10,0.3619534108
0.258454,2.3769388517,2.3423886631,0.1927490959,-0.1295995653,0.0348953539,0.3223486612,0.0046679086,0.3936245016,26.8273711452,0.5879498673,0.5036845143,0.9013189866,0.1135426026,-0.1433121750,-0.0132479117,-0.0000000000,0.0033522007,0.1037530170,0.1611595156,-30.0955567450,-8.013,1.000000,61.5638456396,-9,0.3738731946
0.266784,2.3773466267,2.3331847784,0.3900837385,-0.1485144357,0.0445573901,0.5385981742,0.0050392202,0.6287609172,28.2163698707,0.5932389753,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0221353518,-0.0000000000,0.0063609443,0.3827495860,0.1611595156,-33.8434982744,-7.500,1.000000,61.5638456396,-6,0.3738731946
0.275087,2.3795019050,2.3209129321,0.5888238553,-0.1681321791,0.0590367631,0.7569560344,0.0055311932,0.8753630132,29.5922515211,0.5532978056,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0311094411,-0.0000000000,0.0087143616,0.8471370494,0.1611595156,-33.8434982744,-6.987,1.000000,61.5638456396,-9,0.3738731946
0.283443,2.3834747518,2.3101750666,0.7852266317,-0.1890160748,0.0738030959,0.9742427065,0.0061462190,1.1215580304,29.5434020656,0.4964749941,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0400395065,-0.0000000000,0.0103588592,1.0000000000,0.1611595156,-33.8434982744,-6.474,1.000000,61.5638456396,-6,0.3738731946
0.291782,2.3892325646,2.2979032203,0.9717693459,-0.2105551972,0.0918901207,1.1823245430,0.0069119700,1.3650606324,29.2203122438,0.4317929578,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0485912708,-0.0000000000,0.0114045916,1.0000000000,0.1611595156,-33.8434982744,-5.961,1.000000,61.5638456396,-5,0.3738731946
0.300109,2.3967059908,2.2856313739,1.1427893713,-0.2333139783,0.1116960071,1.3761033497,0.0078427701,1.5977113276,27.9180834257,0.3666255834,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0565552081,-0.0000000000,0.0120379882,1.0000000000,0.1611595156,-33.8434982744,-5.448,1.000000,61.5638456396,-7,0.3738731946
0.308410,2.4057519095,2.2764274892,1.2924330961,-0.2566826178,0.1300080487,1.5491157138,0.0089261705,1.8068688964,25.0989082563,0.3077703156,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0636656844,-0.0000000000,0.0124117649,1.0000000000,0.1611595156,-33.8434982744,-4.935,1.000000,61.5638456396,-5,0.3738731946
0.316815,2.4163637515,2.2656896237,1.4173778093,-0.2800660708,0.1514200339,1.6974438801,0.0101880041,1.9974565107,22.8705137189,0.2586309802,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0697616875,-0.0000000000,0.0126319767,1.0000000000,0.1611595156,-33.8434982744,-4.422,1.000000,61.5638456396,-4,0.3738731946
0.325097,2.4280300303,2.2534177774,1.5095204264,-0.3040442663,0.1754220207,1.8135646926,0.0116498543,2.1609921307,19.6242743930,0.2213386569,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0745340302,-0.0000000000,0.0127545564,1.0000000000,0.1611595156,-33.8434982744,-3.909,1.000000,61.5638456396,-3,0.3738731946
0.333423,2.4407031879,2.2442138927,1.5670208101,-0.3280225254,0.1973629248,1.8950433354,0.0132945453,2.2860980141,15.0127060039,0.1955632218,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0778826461,-0.0000000000,0.0128174358,1.0000000000,0.1611595156,-33.8434982744,-3.396,1.000000,61.5638456396,-4,0.3738731946
0.342356,2.4550110974,2.2334760272,1.5857945245,-0.3514205592,0.2224710163,1.9372150837,0.0151484705,2.3781686789,11.0484797824,0.1803511291,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0796158241,-0.0000000000,0.0128360026,1.0000000000,0.1611595156,-33.8434982744,-2.883,1.000000,61.5638456396,-3,0.3738731946
0.350092,2.4676819950,2.2242721424,1.5639501098,-0.3742524081,0.2444066072,1.9382025179,0.0171851922,2.4231342106,5.3958637991,0.1759200517,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0796564057,-0.0000000000,0.0128143112,1.0000000000,0.1611595156,-33.8434982744,-2.370,1.000000,61.5638456396,-2,0.3738731946
0.358420,2.4812647909,2.2166022385,1.4996543798,-0.3959514853,0.2657170987,1.8956058652,0.0193995014,2.4234794197,0.0414250999,0.1818871571,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0779057650,-0.0000000000,0.0127427879,1.0000000000,0.1611595156,-33.8434982744,-1.857,1.000000,61.5638456396,-2,0.3738731946
0.366753,2.4944321432,2.2089323346,1.3928354159,-0.4159649143,0.2866076571,1.8088003302,0.0217878985,2.3789700764,-5.3411211949,0.1992530670,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0743382240,-0.0000000000,0.0125940966,1.0000000000,0.1611595156,-33.8434982744,-1.344,1.000000,61.5638456396,-1,0.3738731946
0.375165,2.5069129081,2.2027964114,1.2428809966,-0.4343334844,0.3052732666,1.6772144810,0.0243318424,2.2855531963,-11.2100256220,0.2302852217,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0689302980,-0.0000000000,0.0123031269,1.0000000000,0.1611595156,-33.8434982744,-0.831,1.000000,61.5638456396,-1,0.3738731946
0.383428,2.5180069163,2.1966604883,1.0566016737,-0.4510969977,0.3225478445,1.5076986714,0.0270197411,2.1516690453,-16.0660981123,0.2756578037,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0619635234,-0.0000000000,0.0117511359,1.0000000000,0.1611595156,-33.8434982744,-0.318,1.000000,61.5638456396,-1,0.3738731946
0.391709,2.5276201555,2.1889905843,0.8344567797,-0.4662942934,0.3398714629,1.3007510731,0.0298520033,1.9805801887,-20.5306627886,0.3372429761,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0534583741,-0.0000000000,0.0106779724,1.0000000000,0.1611595156,-33.8434982744,0.195,1.000000,61.5638456396,-1,0.3738731946
0.400083,2.5354832979,2.1843886419,0.5782405325,-0.4793829836,0.3523714071,1.0576235161,0.0327884317,1.7641489396,-25.9717498929,0.4156695113,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0434662978,-0.0000000000,0.0086072079,1.0000000000,0.1611595156,-33.8434982744,0.708,1.000000,61.5638456396,-1,0.3738731946
0.408438,2.5411776446,2.1813206804,0.2965612168,-0.4909943794,0.3611646403,0.7875555962,0.0357981370,1.5137303003,-30.0502367236,0.5034592448,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0323670244,-0.0000000000,0.0050093401,1.0000000000,0.1611595156,-33.8434982744,1.221,1.000000,61.5638456396,-3,0.3738731946
0.416755,2.5444738368,2.1797866996,-0.0032428065,-0.5000036539,0.3660188079,0.4967608474,0.0388482937,1.2350616007,-33.4402439537,0.5880255363,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0204159180,-0.0000000000,-0.0000576588,1.0000000000,0.1611595156,-33.8434982744,1.734,1.000000,61.5638456396,0,0.3738731946
0.425097,2.5452186252,2.1813206804,-0.3161447498,-0.5058934858,0.3652453020,0.1897487360,0.0418920046,0.9293680681,-36.6832239052,0.6519674959,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,-0.0077983091,-0.0000000000,-0.0053043708,1.0000000000,0.1611595156,-33.8434982744,2.247,1.000000,61.5638456396,1,0.3738731946
0.433415,2.5432876020,2.1828546612,-0.6324204661,-0.5093196465,0.3617894230,-0.1231008196,0.0449069165,0.6126621270,-38.0047129332,0.6779892285,0.5041411832,0.9013189866,0.0000000000,-0.1611595156,0.0050592076,0.0000000000,-0.0091348546,1.0000000000,0.1611595156,-33.8434982744,2.760,1.000000,61.5638456396,1,0.3738731946
0.441767,2.5386100021,2.1843886419,-0.9461003730,-0.5091811774,0.3555774735,-0.4369191957,0.0478700621,0.2896497970,-38.7614796050,0.6584582943,0.5041411832,0.9018806238,0.0673964644,-0.1106337437,0.0179565409,0.0000000000,-0.0112854092,1.0000000000,0.1611595156,-23.2330861805,3.273,1.000000,61.5638456396,2,0.3779355431
0.450098,2.5312327865,2.1874566035,-1.2465426761,-0.5055643352,0.3451226635,-0.7409783409,0.0507460843,-0.0318271202,-38.5772300626,0.6047425882,0.5044113675,0.9018869515,0.0007593272,0.0301753415,0.0304527885,0.0000000000,-0.0123116270,1.0000000000,0.1611595156,6.3368217083,2.760,1.000000,61.5638456396,3,0.3712963557
0.458419,2.5212542013,2.1905245651,-1.5259104891,-0.4985532896,0.3320574441,-1.0273571995,0.0535132296,-0.3407343417,-37.0688665718,0.5089162719,0.5044144078,0.9025194849,0.0759039986,0.1418152982,0.0422224103,0.0000000000,-0.0127734509,1.0000000000,0.1611595156,29.7812126150,2.247,1.000000,61.5638456396,3,0.3762203465
