t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm,q_ref_base_rad,qdd_ref_rad_s2,disturb_jump_active,disturb_jump_rad,disturb_pulse_active,disturb_pulse_raw,disturb_event_count
0.666777,2.4074136969,2.4175537217,-0.3147170889,-0.0194121364,-0.0100019157,-0.2953049525,0.0040265351,-0.3105617119,-1.4136356600,0.0730751756,0.4966138483,0.8868309166,0.0156398217,0.0610841145,12.8276640506,-1.179,0,0.0966353199,2.4074136969,-1.3900452308,0,0.0000000000,0,0.000,0
0.708466,2.3931574652,2.4129517793,-0.3674874966,-0.0489379569,-0.0194461415,-0.3185495397,0.0032162792,-0.3522954561,-1.0016098598,0.1353890086,0.4969473679,0.8879917314,0.0278595565,0.0966619898,20.2990178497,-1.603,0,0.1511914015,2.3931574652,-1.1415718007,0,0.0000000000,0,0.000,0
0.750128,2.3769284301,2.4022139138,-0.4098748102,-0.0948324542,-0.0246107913,-0.3150423560,0.0021908295,-0.3594147531,-0.1708631290,0.2142321185,0.4975393868,0.8879917314,0.0000000000,0.1098979445,23.0785683378,-2.026,-1,0.1511914015,2.3769284301,-0.8932616073,0,0.0000000000,0,0.000,0
0.791807,2.3591413195,2.3776702212,-0.4419282521,-0.1970501777,-0.0171269739,-0.2448780745,0.0014772056,-0.2757993908,2.0067686957,0.2271466638,0.4975393868,0.8889939824,0.0240540239,0.0874286894,18.3600247762,-2.450,-1,0.1791913676,2.3591413195,-0.6448483271,0,0.0000000000,0,0.000,0
0.833437,2.3402564777,2.3423886631,-0.4636088647,-0.3708728792,0.0005064166,-0.0927359855,0.0014983063,-0.0904566273,4.4482263232,0.2952568529,0.4980483796,0.8891250163,0.0031448142,0.0171307964,3.5974672449,-2.873,-1,0.1680712346,2.3402564777,-0.3967237865,0,0.0000000000,0,0.000,0
0.875104,2.3206670086,2.3009711818,-0.4749652499,-0.5609052899,0.0236864283,0.0859400400,0.0024852408,0.1327125599,5.3560604935,0.3004052987,0.4981147769,0.8894108452,0.0068598919,-0.0414520003,-8.7049200550,-2.450,-2,0.1644945682,2.3206670086,-0.1483851155,0,0.0000000000,0,0.000,0
0.916795,2.3008081180,2.2580197198,-0.4759717541,-0.7331292940,0.0480043000,0.2571575398,0.0044854200,0.3514614030,5.2499722342,0.3105707633,0.4982594924,0.8894108452,0.0000000000,-0.1098979445,-23.0785683378,-2.026,-1,0.1644945682,2.3008081180,0.1001014508,0,0.0000000000,0,0.000,0
0.958534,2.2811009265,2.2135342769,-0.4666018698,-0.8481459368,0.0736008456,0.3815440670,0.0075521219,0.5267295996,4.2064367200,0.3203495483,0.4982594924,0.8894108452,0.0000000000,-0.1098979445,-23.0785683378,-1.603,-1,0.1644945682,2.2811009265,0.3488727813,0,0.0000000000,0,0.000,0
1.000115,2.2620723317,2.1751847572,-0.4469431188,-0.9095231590,0.0933584432,0.4625800402,0.0114420570,0.6483884618,2.9198126917,0.3259136419,0.4982594924,0.8894108452,0.0000000000,-0.1098979445,-23.0785683378,-1.179,-2,0.1644945682,2.2620723317,0.5966997611,0,0.0000000000,0,0.000,0
1.041798,2.2440325718,2.1445051415,-0.4168927829,-0.9009435224,0.1059372586,0.4840507396,0.0158561095,0.6974372118,1.1771700010,0.3317307320,0.4982594924,0.8894108452,0.0000000000,-0.1098979445,-23.0785683378,-0.756,-1,0.1644945682,2.2440325718,0.8451389800,0,0.0000000000,0,0.000,0
1.083458,2.2274699369,2.1230294104,-0.3765119200,-0.8031322720,0.1101544694,0.4266203520,0.0204458790,0.6520058102,-1.0903536389,0.3408281763,0.4982594924,0.8894108452,0.0000000000,-0.1098979445,-23.0785683378,-0.333,-1,0.1644945682,2.2274699369,1.0934405609,0,0.0000000000,0,0.000,0
1.125127,2.2128022410,2.1184274681,-0.3257751695,-0.6320155762,0.0988712937,0.3062404067,0.0245655163,0.5140404882,-3.3111677277,0.3479430093,0.4982594924,0.8894108452,0.0000000000,-0.1098979445,-23.0785683378,0.091,0,0.1644945682,2.2128022410,1.3417935780,0,0.0000000000,0,0.000,0
1.166799,2.2004634779,2.1199614489,-0.2646849079,-0.4066279122,0.0833950129,0.1419430043,0.0280403085,0.3236963887,-4.5682583877,0.3492548073,0.4982594924,0.8913245384,0.0459286390,-0.0964355957,-20.2514750932,0.514,0,0.2311156656,2.2004634779,1.5901650239,0,0.0000000000,0,0.000,0
1.208455,2.1908893396,2.1230294104,-0.1932751233,-0.2404550771,0.0695706643,0.0471799538,0.0309390861,0.2054852731,-2.8370667762,0.4887487005,0.4992241768,0.8923411399,0.0243984345,-0.0678760113,-14.2539623784,0.938,0,0.2429039999,2.1908893396,1.8384372452,0,0.0000000000,0,0.000,0
1.250117,2.1845044654,2.1276313528,-0.1115097960,-0.1199001927,0.0577261513,0.0083903967,0.0333443424,0.1465363498,-1.4147741587,0.5072607279,0.4997336418,0.8928746902,0.0128052073,-0.0452323089,-9.4987848728,1.361,0,0.2374810863,2.1845044654,2.0867485412,0,0.0000000000,0,0.000,0
1.291787,2.1817414219,2.1322332952,-0.0193793721,-0.0366134455,0.0497686158,0.0172340734,0.0354180348,0.1422415381,-0.1030754816,0.4933282669,0.5000001917,0.8933656779,0.0117837046,-0.0445414071,-9.3536954932,1.784,0,0.2315211977,2.1817414219,2.3351108323,0,0.0000000000,0,0.000,0
1.333454,2.1816615650,2.1414371799,0.0000000000,0.0237870187,0.0400551506,-0.0237870187,0.0370869994,0.0844194096,-1.3877310841,0.4721742703,0.5002449684,0.8935323391,0.0039998690,-0.0194073507,-4.0755436500,2.208,2,0.2161049057,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.375136,2.1816615650,2.1629129109,0.0000000000,0.1349128253,0.0177888070,-0.1349128253,0.0378281997,-0.0679503879,-3.6568751388,0.4176321228,0.5003279443,0.8936298236,0.0023396281,0.0415853303,8.7329193679,1.784,1,0.2000283186,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.416769,2.1816615650,2.1905245651,0.0000000000,0.2956974588,-0.0109667612,-0.2956974588,0.0373712513,-0.2832509228,-5.1672128376,0.3513236968,0.5003764529,0.8951020828,0.0353342211,0.1051989957,22.0917890871,1.361,1,0.2334632393,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.458458,2.1816615650,2.2181362193,0.0000000000,0.4407062143,-0.0396100907,-0.4407062143,0.0357208308,-0.4836209115,-4.8088797287,0.3688092992,0.5011067008,0.8951020828,0.0000000000,0.1098979445,23.0785683378,0.938,1,0.2334632393,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.500136,2.1816615650,2.2472818543,0.0000000000,0.5390100313,-0.0694551153,-0.5390100313,0.0328268677,-0.6406481411,-3.7686535112,0.3318845597,0.5011067008,0.8951020828,0.0000000000,0.1098979445,23.0785683378,0.514,1,0.2334632393,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.541796,2.1816615650,2.2733595276,0.0000000000,0.5901239431,-0.0958964424,-0.5901239431,0.0288311826,-0.7450558036,-2.5057838995,0.3063489950,0.5011067008,0.8951020828,0.0000000000,0.1098979445,23.0785683378,0.091,1,0.2334632393,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.583550,2.1816615650,2.2840973932,0.0000000000,0.5474788754,-0.1063309065,-0.5474788754,0.0244007282,-0.7259681297,0.4581041747,0.3089529564,0.5011067008,0.8951020828,0.0000000000,0.1098979445,23.0785683378,-0.333,0,0.2334632393,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.625243,2.1816615650,2.2825634124,0.0000000000,0.3824768598,-0.1036230068,-0.3824768598,0.0200831029,-0.5596927113,3.9906100415,0.3419000573,0.5011067008,0.8951020828,0.0000000000,0.1098979445,23.0785683378,-0.756,0,0.2334632393,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
