t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.116764,2.4704256717,2.4252236256,-0.4527182004,-0.0383597895,0.0453690797,-0.4143584109,0.0030198813,-0.3208788628,-14.7882186694,0.0000645737,0.4966031834,0.8862891956,0.0156898964,0.0262826952,0.0208291986,0.0000000000,-0.0070306945,0.4101107816,0.1873039290,5.5193659932,-5.745,1.000000,167.6459008032,-4,0.0018584025
0.125080,2.4683221494,2.4236896449,-0.5828133057,-0.0408478008,0.0448103720,-0.5419655050,0.0033933010,-0.4492288829,-15.4020024133,0.0000650573,0.4966701737,0.8865479301,0.0310481428,0.0366051992,0.0272438228,0.0000000000,-0.0087380569,0.3912458500,0.1873039290,7.6870918315,-7.142,1.000000,167.6459008032,-6,0.0023393380
0.133490,2.4647729589,2.4190877025,-0.7121040184,-0.0449281316,0.0458808911,-0.6671758868,0.0037756418,-0.5719242448,-14.7234434291,0.0000708172,0.4968026386,0.8869688674,0.0505124813,0.0482645496,0.0335379678,0.0000000000,-0.0102435701,0.4274968446,0.1873039290,10.1355554150,-8.539,1.000000,167.6459008032,-6,0.0030180426
0.141766,2.4598789488,2.4144857601,-0.8319060713,-0.0504828132,0.0456130107,-0.7814232580,0.0041557502,-0.6863279114,-13.7284399833,0.0000791113,0.4970178634,0.8875761270,0.0728711532,0.0580036710,0.0392810180,0.0000000000,-0.0114630892,0.4183858244,0.1873039290,12.1807709127,-9.936,1.000000,167.6459008032,-8,0.0038600780
0.150091,2.4535997018,2.4083498370,-0.9397493524,-0.0591792633,0.0455075547,-0.8805700891,0.0045349798,-0.7853079975,-11.8776103322,0.0000888228,0.4973277351,0.8883718713,0.0954893141,0.0666635846,0.0442649859,0.0000000000,-0.0124196800,0.4148057300,0.1873039290,13.9993527607,-11.333,1.000000,167.6459008032,-9,0.0048179617
0.158431,2.4460466236,2.4006799330,-1.0298941528,-0.0725613670,0.0456826514,-0.9573327858,0.0049156686,-0.8613430079,-9.1242012497,0.0001005254,0.4977326765,0.8893295401,0.1149202500,0.0737865936,0.0481237358,0.0000000000,-0.0131219213,0.4207521446,0.1873039290,15.4951846559,-12.730,1.000000,167.6459008032,-10,0.0058495785
0.167627,2.4364360921,2.3930100291,-1.1027621287,-0.0920586291,0.0438269226,-1.0107034997,0.0052808929,-0.9180513729,-6.8050038021,0.0001143027,0.4982183442,0.8904176139,0.1305688559,0.0757051214,0.0508066044,0.0000000000,-0.0136288703,0.3584039195,0.1873039290,15.8980754987,-14.127,1.000000,167.6459008032,-11,0.0069325694
0.175090,2.4278322810,2.3838061444,-1.1375546538,-0.1172180010,0.0445365500,-1.0203366528,0.0056520309,-0.9259003509,-0.9418773598,0.0001387818,0.4987679173,0.8915241185,0.1327805490,0.0775660940,0.0512908491,0.0000000000,-0.0138528549,0.3820510674,0.1873039290,16.2888797401,-15.524,1.000000,167.6459008032,-13,0.0080441778
0.183427,2.4176021713,2.3715342981,-1.1471710356,-0.1511732924,0.0467261413,-0.9959977433,0.0060414154,-0.8968077151,3.4911162984,0.0001771913,0.4993243600,0.8925616470,0.1245034228,0.0785980393,0.0500673673,0.0000000000,-0.0139127787,0.4563757783,0.1873039290,16.5055882509,-16.921,1.000000,167.6459008032,-16,0.0091744755
0.191756,2.4070075185,2.3592624518,-1.1232222183,-0.1914962007,0.0485789167,-0.9317260177,0.0064462397,-0.8284386054,8.2042931613,0.0002372229,0.4998438722,0.8934461318,0.1061381831,0.0750361429,0.0468365206,0.0000000000,-0.0137619597,0.5200153839,0.1873039290,15.7575900075,-17.744,1.000000,167.6459008032,-15,0.0102866209
