t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.116751,2.4539616380,2.4359614912,-0.2262617346,0.0000000000,0.0180001468,-0.2262617346,0.0011535233,-0.1893617396,-7.7225455861,0.0128293373,0.4964040001,0.8858034914,0.0040097355,0.0089628694,0.0088747642,0.0000000000,-0.0015484871,0.0000000000,0.2200000000,1.8822025689,-1.415,1.000000,80.0000000000,0,0.0125283149
0.125099,2.4529055636,2.4359614912,-0.2915572787,0.0000000000,0.0169440725,-0.2915572787,0.0012947239,-0.2566160995,-8.0705231817,0.0175207031,0.4964211491,0.8858674305,0.0076726853,0.0128761565,0.0114358803,0.0000000000,-0.0019665727,0.0000000000,0.2200000000,2.7039928651,-2.082,1.000000,80.0000000000,0,0.0190106777
0.133439,2.4511471456,2.4344275104,-0.3556689023,0.0000000000,0.0167196352,-0.3556689023,0.0014340541,-0.3210361331,-7.7304040395,0.0259496169,0.4964539578,0.8859747403,0.0128771821,0.0175558726,0.0139505589,0.0000000000,-0.0023575496,0.0000000000,0.2200000000,3.6867332424,-2.748,1.000000,80.0000000000,-1,0.0289121529
0.141998,2.4486087160,2.4328935296,-0.4175547001,-0.0023980824,0.0157247787,-0.4151566177,0.0015650940,-0.3823710664,-7.3601919977,0.0385083800,0.4965090031,0.8861422724,0.0201038526,0.0233907733,0.0162838719,0.0000000000,-0.0027140884,0.0000000000,0.2200000000,4.9120623912,-3.415,1.000000,80.0000000000,-3,0.0425662659
0.150099,2.4455441723,2.4298255680,-0.4699238206,-0.0069544389,0.0157464220,-0.4629693817,0.0016963142,-0.4300113440,-5.7168333012,0.0556680759,0.4965948942,0.8863805930,0.0285984700,0.0300282258,0.0181592531,0.0000000000,-0.0029984707,0.0000000000,0.2200000000,6.3059274180,-4.082,1.000000,80.0000000000,-3,0.0593956913
0.158450,2.4417617121,2.4282915872,-0.5150382810,-0.0134532422,0.0135239379,-0.5015850388,0.0018090136,-0.4729313008,-5.1503948190,0.0763066917,0.4967169818,0.8867073296,0.0392083880,0.0379502012,0.0196738921,0.0000000000,-0.0032301396,0.0000000000,0.2200000000,7.9695422532,-4.748,1.000000,80.0000000000,-3,0.0792300587
0.166764,2.4374418182,2.4236896449,-0.5486321572,-0.0217002476,0.0138389744,-0.5269319096,0.0019243384,-0.4975384730,-2.9528606721,0.1011009703,0.4968841807,0.8871200991,0.0495323399,0.0460727324,0.0206680837,0.0000000000,-0.0033944695,0.0000000000,0.2200000000,9.6752738103,-5.415,1.000000,80.0000000000,-3,0.1007783088
0.175085,2.4326670127,2.4190877025,-0.5687692681,-0.0339187172,0.0137149851,-0.5348505510,0.0020386300,-0.5055906678,-0.9662633684,0.1288399166,0.4970951021,0.8876054263,0.0582392655,0.0537710571,0.0209786801,0.0000000000,-0.0034895996,0.0000000000,0.2200000000,11.2919219900,-6.082,1.000000,80.0000000000,-5,0.1227294085
0.183473,2.4275200210,2.4144857601,-0.5735665914,-0.0521095870,0.0132426992,-0.5214570044,0.0021489858,-0.4930265351,1.5076959282,0.1589059040,0.4973426674,0.8881278345,0.0626889869,0.0597258999,0.0204533390,0.0000000000,-0.0035118890,0.0000000000,0.2200000000,12.5424389867,-6.748,1.000000,80.0000000000,-5,0.1434056479
0.191769,2.4222427216,2.4068158562,-0.5615770439,-0.0756756170,0.0157295679,-0.4859014269,0.0022800655,-0.4524008344,4.8750840760,0.1909898347,0.4976086242,0.8886224172,0.0593499181,0.0618247598,0.0190587269,0.0000000000,-0.0034559135,0.0000000000,0.2200000000,12.9831995659,-7.415,1.000000,80.0000000000,-5,0.1606467812
0.200113,2.4169059537,2.4006799330,-0.5317856065,-0.1040792912,0.0166423378,-0.4277063153,0.0024187517,-0.3922554273,7.2174488558,0.2215395434,0.4978599141,0.8890334057,0.0493186286,0.0592834359,0.0167761142,0.0000000000,-0.0033129400,0.0000000000,0.2200000000,12.4495215470,-8.082,1.000000,80.0000000000,-7,0.1731913620
0.208442,2.4117180026,2.3930100291,-0.4838986102,-0.1368368451,0.0192553209,-0.3470617651,0.0025792127,-0.3062612035,10.3193068583,0.2495082610,0.4980683597,0.8893058063,0.0326880631,0.0500885765,0.0136129573,0.0000000000,-0.0030715684,0.0000000000,0.2200000000,10.5186010578,-8.748,1.000000,80.0000000000,-8,0.1799133820
0.216758,2.4068512319,2.3838061444,-0.4181628962,-0.1759109732,0.0237487314,-0.2422519230,0.0027771188,-0.1923288068,13.6718876048,0.2722449835,0.4982063301,0.8894202417,0.0137322560,0.0328543938,0.0095019545,0.0000000000,-0.0027174842,0.0000000000,0.2200000000,6.8994226936,-8.082,1.000000,80.0000000000,-10,0.1807640614
0.225100,2.4024568550,2.3746022596,-0.3349632830,-0.2206700181,0.0287372754,-0.1142932649,0.0030165961,-0.0542228676,16.5727126973,0.2865038869,0.4982642471,0.8894296868,0.0011334089,0.0082259300,0.0044829754,0.0000000000,-0.0022335735,0.0099026768,0.2200000000,1.7274453000,-7.415,1.000000,80.0000000000,-7,0.1778708395
0.233428,2.3987261523,2.3638643941,-0.2360037098,-0.2705454881,0.0359439401,0.0345417783,0.0033161289,0.1092255599,19.6138113042,0.2928735461,0.4982690262,0.8894686457,0.0046750635,-0.0231120472,-0.0013548475,-0.0000000000,-0.0016120085,0.1278139768,0.2200000000,-4.8535299173,-6.748,1.000000,80.0000000000,-6,0.1761183185
0.241889,2.3957702095,2.3531265286,-0.1211867284,-0.3250257406,0.0439437838,0.2038390122,0.0036823271,0.2947778077,22.2662697391,0.2962585147,0.4982887370,0.8897548542,0.0343450279,-0.0617957010,-0.0079952679,-0.0000000000,-0.0008427785,0.3622786423,0.2200000000,-12.9770972060,-6.082,1.000000,80.0000000000,-5,0.1836216523
0.251010,2.3936939016,2.3408546823,0.0157204634,-0.3836502974,0.0543738205,0.3993707609,0.0041354423,0.5114785139,26.0040847398,0.3101354781,0.4984334479,0.8906467908,0.1070323930,-0.1153613115,-0.0156646962,-0.0000000000,0.0001100325,0.7129899916,0.2200000000,-24.2258754079,-5.415,1.000000,80.0000000000,-6,0.2128506285
