t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.583439,2.4436568112,2.4405634335,0.0052424604,0.0000000000,0.0030933777,0.0052424604,0.0009246355,0.0138509067,-0.0499754750,0.0005361051,0.4963666362,0.8856983617,0.0000257403,-0.0008856420,-0.0003179189,-0.0000000000,0.0000367984,0.0000000000,0.0615854214,-0.1859848193,0.056,1.000000,10.1211443054,0,0.0004246368
0.625119,2.4441116200,2.4405634335,0.0056028569,0.0000000000,0.0035481865,0.0056028569,0.0010724766,0.0154936058,0.0394247780,0.0006531281,0.4963671869,0.8856997049,0.0000322360,-0.0009934136,-0.0003397745,-0.0000000000,0.0000393281,0.0000000000,0.0615854214,-0.2086168586,0.079,1.000000,10.1211443054,0,0.0005208082
0.666780,2.4445967291,2.4390294527,0.0059601820,0.0000000000,0.0055672763,0.0059601820,0.0013044465,0.0209502703,0.1309599483,0.0008028532,0.4963678764,0.8857021635,0.0000590064,-0.0013561838,-0.0003614438,-0.0000000000,0.0000418362,0.0000000000,0.0615854214,-0.2847986024,0.155,1.000000,10.1211443054,0,0.0007200512
0.708447,2.4451122543,2.4390294527,0.0063144669,0.0000000000,0.0060828016,0.0063144669,0.0015578966,0.0228781117,0.0462681947,0.0011102259,0.4963691387,0.8857051021,0.0000705265,-0.0014858371,-0.0003829287,-0.0000000000,0.0000443230,0.0000000000,0.0615854214,-0.3120257867,0.182,1.000000,10.1211443054,0,0.0009488619
0.750096,2.4456577108,2.4405634335,0.0066653218,0.0000000000,0.0050942773,0.0066653218,0.0017701581,0.0211879690,-0.0405634260,0.0014603651,0.4963706473,0.8857076291,0.0000606482,-0.0013740191,-0.0004042056,-0.0000000000,0.0000467857,0.0000000000,0.0615854214,-0.2885440025,0.159,1.000000,10.1211443054,0,0.0011150441
0.791786,2.4462337081,2.4405634335,0.0070130530,0.0000000000,0.0056702746,0.0070130530,0.0020064196,0.0232282351,0.0489663882,0.0017165228,0.4963719446,0.8857106720,0.0000730288,-0.0015113502,-0.0004252931,-0.0000000000,0.0000492265,0.0000000000,0.0615854214,-0.3173835521,0.188,1.000000,10.1211443054,0,0.0013171072
0.833442,2.4468389988,2.4405634335,0.0073568361,0.0000000000,0.0062755652,0.0073568361,0.0022679014,0.0253690934,0.0513805984,0.0020280488,0.4963735068,0.8857143099,0.0000873112,-0.0016566979,-0.0004461412,-0.0000000000,0.0000516396,0.0000000000,0.0615854214,-0.3479065592,0.218,1.000000,10.1211443054,0,0.0015593736
0.875103,2.4474739360,2.4405634335,0.0076968268,0.0000000000,0.0069105025,0.0076968268,0.0025558390,0.0276132621,0.0538600493,0.0024016393,0.4963753744,0.8857186319,0.0001037265,-0.0018105599,-0.0004667593,-0.0000000000,0.0000540260,0.0000000000,0.0615854214,-0.3802175782,0.251,1.000000,10.1211443054,0,0.0018465918
0.916797,2.4481387492,2.4405634335,0.0080330540,0.0000000000,0.0075753157,0.0080330540,0.0028714772,0.0299630531,0.0563949831,0.0028446520,0.4963775931,0.8857237373,0.0001225289,-0.0019734675,-0.0004871491,-0.0000000000,0.0000563860,0.0000000000,0.0615854214,-0.4144281803,0.285,1.000000,10.1211443054,0,0.0021839474
0.958435,2.4488317953,2.4405634335,0.0083646348,0.0000000000,0.0082683618,0.0083646348,0.0032159923,0.0324153426,0.0588549491,0.0033651224,0.4963802139,0.8857297353,0.0001439530,-0.0021456572,-0.0005072572,-0.0000000000,0.0000587134,0.0000000000,0.0615854214,-0.4505880048,0.321,1.000000,10.1211443054,0,0.0025768886
