t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
0.875100,2.4520758394,2.4451653759,0.0076968065,0.0000000000,0.0069104635,0.0076968065,0.0022364419,0.0255300561,-0.0308740202,0.0012438516,0.4963702853,0.8857069166,0.0000604698,-0.0011756891,-0.2468947122,0.117,0,0.0007889993
0.916793,2.4527406379,2.4436313951,0.0080330276,0.0000000000,0.0091092427,0.0080330276,0.0026159937,0.0311416635,0.1346785775,0.0015052066,0.4963715788,0.8857106761,0.0000902278,-0.0014381539,-0.3020123283,0.172,0,0.0009987521
0.958505,2.4534349246,2.4451653759,0.0083651875,0.0000000000,0.0082695487,0.0083651875,0.0029605582,0.0300471567,-0.0262681629,0.0019019055,0.4963735089,0.8857141909,0.0000843551,-0.0013935305,-0.2926414061,0.163,0,0.0011826401
1.000112,2.4541562965,2.4451653759,0.0086921256,0.0000000000,0.0089909206,0.0086921256,0.0033351799,0.0324052304,0.0565937692,0.0022526833,0.4963753132,0.8857182943,0.0000984832,-0.0015085413,-0.3167936730,0.187,0,0.0013957227
1.041792,2.4549075680,2.4451653759,0.0090150706,0.0000000000,0.0097421921,0.0090150706,0.0037411046,0.0348624461,0.0589731760,0.0026592780,0.4963774198,0.8857230643,0.0001144792,-0.0016299736,-0.3422944498,0.213,0,0.0016413096
1.083443,2.4556866744,2.4451653759,0.0093330406,0.0000000000,0.0105212985,0.0093330406,0.0041794920,0.0374146894,0.0612538393,0.0031280391,0.4963798685,0.8857285856,0.0001325107,-0.0017580166,-0.3691834962,0.240,0,0.0019228642
1.125093,2.4564938715,2.4451653759,0.0096460895,0.0000000000,0.0113284957,0.0096460895,0.0046515127,0.0400639807,0.0635829921,0.0036656185,0.4963827028,0.8857349524,0.0001528038,-0.0018932014,-0.3975722986,0.268,0,0.0022441142
1.166862,2.4573312803,2.4451653759,0.0099549041,0.0000000000,0.0121659044,0.0099549041,0.0051584253,0.0428171676,0.0660764858,0.0042791811,0.4963859711,0.8857422712,0.0001756516,-0.0020363556,-0.4276346847,0.298,0,0.0026091690
1.208456,2.4581926845,2.4451653759,0.0102571555,0.0000000000,0.0130273086,0.0102571555,0.0057012299,0.0456594970,0.0682159033,0.0049766104,0.4963897279,0.8857506546,0.0002012002,-0.0021873585,-0.4593452877,0.330,0,0.0030220625
1.250094,2.4590821863,2.4451653759,0.0105542851,0.0000000000,0.0139168104,0.0105542851,0.0062810970,0.0486028076,0.0706394561,0.0057656708,0.4963940311,0.8857602312,0.0002298398,-0.0023474176,-0.4929576910,0.363,0,0.0034873339
1.291940,2.4600032034,2.4451653759,0.0108472340,0.0000000000,0.0148378275,0.0108472340,0.0068993398,0.0516571093,0.0733032395,0.0066550988,0.4963989466,0.8857711482,0.0002620080,-0.0025177661,-0.5287308769,0.399,0,0.0040100441
1.333463,2.4609436727,2.4451653759,0.0111321550,0.0000000000,0.0157782968,0.0111321550,0.0075567688,0.0547930871,0.0752634677,0.0076545893,0.4964045499,0.8857835560,0.0002977862,-0.0026978294,-0.5665441695,0.437,0,0.0045947503
1.375107,2.4619130979,2.4451653759,0.0114119586,0.0000000000,0.0167477220,0.0114119586,0.0082545906,0.0580359321,0.0778282807,0.0087729389,0.4964109181,0.8857976328,0.0003378440,-0.0028897522,-0.6068479667,0.477,0,0.0052469431
1.416818,2.4629100330,2.4451653759,0.0116860670,0.0000000000,0.0177446571,0.0116860670,0.0089939513,0.0613832732,0.0803361865,0.0100207020,0.4964181425,0.8858135762,0.0003826411,-0.0030944906,-0.6498430315,0.520,0,0.0059723371
1.458537,2.4639328461,2.4451653759,0.0119539258,0.0000000000,0.0187674702,0.0119539258,0.0097759292,0.0648322749,0.0827760397,0.0114088620,0.4964263244,0.8858316047,0.0004326835,-0.0033130948,-0.6957499107,0.566,0,0.0067768469
1.500125,2.4649776222,2.4482333375,0.0122144974,0.0024328432,0.0167368070,0.0097816541,0.0104732962,0.0590466046,-0.1388560879,0.0128881602,0.4964355757,0.8858467739,0.0003640610,-0.0030608509,-0.6427786973,0.513,0,0.0073646101
1.541807,2.4660496457,2.4497673183,0.0124690462,0.0046188757,0.0162681308,0.0078501705,0.0111511349,0.0569019859,-0.0514708472,0.0139731638,0.4964433593,0.8858610076,0.0003416084,-0.0029803745,-0.6258786546,0.496,0,0.0078640931
1.583437,2.4671447864,2.4513012990,0.0127165023,0.0065831361,0.0158232533,0.0061333662,0.0118104372,0.0550019467,-0.0456009416,0.0148868586,0.4964506625,0.8858744217,0.0003219398,-0.0029058471,-0.6102278813,0.481,0,0.0082882463
1.625110,2.4682651572,2.4528352798,0.0129572769,0.0083481233,0.0154042184,0.0046091535,0.0124522796,0.0533301725,-0.0401225805,0.0156549790,0.4964575447,0.8858871239,0.0003048513,-0.0028379003,-0.5959590637,0.466,0,0.0086482861
1.666791,2.4694094971,2.4543692606,0.0131910054,0.0099340534,0.0150097029,0.0032569521,0.0130776839,0.0518644096,-0.0351783099,0.0162996796,0.4964640614,0.8858992096,0.0002900583,-0.0027765380,-0.5830729831,0.453,0,0.0089537625
1.708436,2.4705761723,2.4543692606,0.0134172945,0.0113590916,0.0161719981,0.0020582029,0.0137515171,0.0540226407,0.0517975468,0.0168743310,0.4964702615,0.8859123920,0.0003163780,-0.0029075266,-0.6105805833,0.481,0,0.0093029666
1.750131,2.4717671788,2.4543692606,0.0136364532,0.0102067171,0.0173665466,0.0034297361,0.0144751232,0.0588816326,0.1166158062,0.0175432932,0.4964770239,0.8859281491,0.0003781691,-0.0031886392,-0.6696142421,0.540,0,0.0097737228
1.791779,2.4729793244,2.4574372222,0.0138478208,0.0116040938,0.0155064355,0.0022437270,0.0151212247,0.0543944827,-0.1076915972,0.0183544675,0.4964851066,0.8859416961,0.0003251277,-0.0029675995,-0.6231958946,0.494,0,0.0100962574
1.833473,2.4742148730,2.4574372222,0.0140517202,0.0128597072,0.0167381248,0.0011920131,0.0158186466,0.0568801865,0.0596568904,0.0189600005,0.4964920553,0.8859565911,0.0003574809,-0.0031203560,-0.6552747700,0.526,0,0.0104734796
1.875186,2.4754727027,2.4589712030,0.0142478665,0.0115550960,0.0164659837,0.0026927705,0.0165047292,0.0586084960,0.0414794288,0.0196413496,0.4964996949,0.8859725026,0.0003818755,-0.0032350445,-0.6793593372,0.550,0,0.0108830100
1.916786,2.4767482220,2.4605051838,0.0144355083,0.0128156802,0.0162036476,0.0016198281,0.0171798812,0.0577714686,-0.0200886585,0.0203673731,0.4965078555,0.8859880638,0.0003734689,-0.0032097203,-0.6740412575,0.544,0,0.0112499046
1.958462,2.4780468359,2.4620391646,0.0146153823,0.0139483787,0.0159647992,0.0006670036,0.0178450812,0.0570940882,-0.0162571295,0.0210115462,0.4965158358,0.8860033497,0.0003668621,-0.0031903978,-0.6699835446,0.540,0,0.0115808672
2.000131,2.4793655197,2.4635731453,0.0147869674,0.0149661655,0.0157463739,-0.0001791981,0.0185011801,0.0565571647,-0.0128861643,0.0215868370,0.4965236746,0.8860184262,0.0003618347,-0.0031765999,-0.6670859848,0.537,0,0.0118815987
2.041789,2.4807036273,2.4651071261,0.0149501124,0.0158806984,0.0155476898,-0.0009305860,0.0191490005,0.0561483823,-0.0098107768,0.0221042467,0.4965314055,0.8860333534,0.0003582543,-0.0031681144,-0.6653040188,0.536,0,0.0121570871
2.083455,2.4820613597,2.4666411069,0.0151047679,0.0167024523,0.0153689156,-0.0015976844,0.0197893720,0.0558585831,-0.0069551805,0.0225733610,0.4965390594,0.8860481880,0.0003560294,-0.0031648227,-0.6646127628,0.535,0,0.0124117626
2.125199,2.4834404950,2.4666411069,0.0152510275,0.0174408396,0.0167457813,-0.0021898121,0.0204871129,0.0591224685,0.0783332478,0.0230500111,0.4965466654,0.8860648762,0.0004005176,-0.0033637915,-0.7063962144,0.577,0,0.0127473424
2.166783,2.4848327201,2.4697090685,0.0153879652,0.0181043179,0.0150680056,-0.0027163527,0.0211149464,0.0556725061,-0.0827990967,0.0235801303,0.4965552212,0.8860797421,0.0003567818,-0.0031822142,-0.6682649918,0.539,0,0.0129696178
2.208475,2.4862463657,2.4697090685,0.0155163437,0.0187004867,0.0164798188,-0.0031841430,0.0218016056,0.0591240199,0.0828363299,0.0239963915,0.4965628424,0.8860965691,0.0004038468,-0.0033917739,-0.7122725275,0.583,0,0.0132789156
2.250115,2.4876756315,2.4712430493,0.0156355384,0.0192361744,0.0163734573,-0.0036006360,0.0224838330,0.0592938208,0.0040752217,0.0245234957,0.4965714683,0.8861135700,0.0004080229,-0.0034170939,-0.7175897133,0.588,0,0.0135786815
2.291771,2.4891222663,2.4727770301,0.0157456310,0.0172846736,0.0162921096,-0.0015390426,0.0231626708,0.0619924646,0.0647674520,0.0250480027,0.4965801828,0.8861322377,0.0004480246,-0.0035888255,-0.7536533648,0.624,0,0.0139441551
2.333464,2.4905865086,2.4727770301,0.0158465421,0.0179639949,0.0177542638,-0.0021174528,0.0239024318,0.0655074820,0.0843604167,0.0257268607,0.4965897511,0.8861532037,0.0005031848,-0.0038144711,-0.8010389296,0.671,0,0.0144030071
2.375114,2.4920650405,2.4743110109,0.0159379667,0.0185743993,0.0176969388,-0.0026364326,0.0246398043,0.0657485143,0.0057847754,0.0265239856,0.4966004966,0.8861744679,0.0005103403,-0.0038546159,-0.8094693307,0.680,1,0.0148485142
2.416778,2.4935593315,2.4743110109,0.0160199275,0.0166900353,0.0191970216,-0.0006701078,0.0254396802,0.0719636066,0.1491622169,0.0273678924,0.4966113940,0.8862001243,0.0006157541,-0.0042492381,-0.8923399915,0.763,0,0.0154832003
2.458455,2.4950688285,2.4743110109,0.0160923041,0.0149968392,0.0207117229,0.0010954650,0.0263026686,0.0780857942,0.1469325009,0.0285600881,0.4966245411,0.8862306347,0.0007322484,-0.0046570897,-0.9779888410,0.848,0,0.0163146284
2.500092,2.4965910141,2.4743110109,0.0161549059,0.0134754169,0.0222385848,0.0026794890,0.0272292763,0.0841295012,0.1450489681,0.0301152699,0.4966401738,0.8862665094,0.0008609918,-0.0050826772,-1.0673622099,0.938,0,0.0173498054
2.541880,2.4981324181,2.4743110109,0.0162078791,0.0121083423,0.0237841907,0.0040995368,0.0282202843,0.0901276685,0.1439560158,0.0320470952,0.4966585527,0.8863083357,0.0010038326,-0.0055317312,-1.1616635463,1.032,0,0.0185961947
2.583435,2.4996782363,2.4743110109,0.0162506640,0.0108799567,0.0253337844,0.0053707073,0.0292758586,0.0960632507,0.1424539720,0.0343697480,0.4966799775,0.8863567457,0.0011618400,-0.0060071115,-1.2614934087,1.132,0,0.0200597441
2.625120,2.5012414022,2.4743110109,0.0162835746,0.0097761902,0.0269003430,0.0065073844,0.0303967063,0.1019799246,0.1420001754,0.0370948014,0.4967047703,0.8864124835,0.0013377065,-0.0065154511,-1.3682447252,1.239,0,0.0217477702
2.666773,2.5028153042,2.4743110109,0.0163063524,0.0087844004,0.0284772933,0.0075219521,0.0315832602,0.1078761873,0.1415103045,0.0402360594,0.4967333102,0.8864763760,0.0015334207,-0.0070608831,-1.4827854564,1.353,0,0.0236670288
2.708440,2.5044010786,2.4743110109,0.0163189371,0.0078932271,0.0300658069,0.0084257100,0.0328360021,0.1137664844,0.1413671309,0.0438062823,0.4967660181,0.8865493618,0.0017516581,-0.0076486868,-1.6062242292,1.477,0,0.0258246036
2.750113,2.5059978295,2.4743110109,0.0163212303,0.0070924630,0.0316650190,0.0092287673,0.0341553779,0.1196595656,0.1414339466,0.0478187240,0.4968033712,0.8866324985,0.0019952810,-0.0082840209,-1.7396443862,1.610,1,0.0282277231
2.791766,2.5076040183,2.4758449916,0.0163131500,0.0063729359,0.0317394386,0.0099402140,0.0354778545,0.1221225677,0.0591120509,0.0521836671,0.4968459065,0.8867218053,0.0021433642,-0.0087201059,-1.8312222342,1.702,1,0.0306697292
2.833448,2.5092209185,2.4773789724,0.0162946004,0.0081592478,0.0318168676,0.0081353526,0.0368035573,0.1220797329,-0.0010280340,0.0565697969,0.4968915833,0.8868137732,0.0022072294,-0.0089839130,-1.8866217352,1.757,1,0.0329996304
2.875112,2.5108460909,2.4819809148,0.0162655193,0.0121971825,0.0288276865,0.0040683369,0.0380047109,0.1129034444,-0.2202309241,0.0604523630,0.4969386047,0.8868944971,0.0019373732,-0.0085272468,-1.7907218382,1.661,1,0.0346904542
2.916769,2.5124794013,2.4865828572,0.0162258311,0.0182583138,0.0258404248,-0.0020324826,0.0390813953,0.1015480587,-0.2725292580,0.0630802817,0.4969798634,0.8869609289,0.0015943631,-0.0078028706,-1.6386028342,1.509,2,0.0357080412
2.958495,2.5141232088,2.4896508187,0.0161753669,0.0237045462,0.0243995310,-0.0075291793,0.0400980424,0.0941141683,-0.1784133699,0.0645897172,0.4970138076,0.8870185474,0.0013828445,-0.0073027559,-1.5335787312,1.404,2,0.0363256126
3.000111,2.5157698346,2.4911847995,0.0161142889,0.0285982609,0.0244971346,-0.0124839719,0.0411187564,0.0905992990,-0.0843568626,0.0655036663,0.4970432415,0.8870722551,0.0012889853,-0.0070715939,-1.4850347163,1.355,0,0.0367575951
3.041764,2.5174244770,2.4911847995,0.0160423424,0.0281298241,0.0261532168,-0.0120874817,0.0422084737,0.0959346223,0.1280477607,0.0663094498,0.4970706716,0.8871327837,0.0014526862,-0.0075268727,-1.5806432673,1.451,1,0.0374077553
3.083432,2.5190856358,2.4911847995,0.0159594822,0.0252760667,0.0278231470,-0.0093165845,0.0433677715,0.1037582794,0.1877677685,0.0675513445,0.4971015785,0.8872041444,0.0017126564,-0.0082052651,-1.7231056685,1.593,0,0.0384029527
3.125102,2.5207521833,2.4911847995,0.0158656666,0.0227118217,0.0294975761,-0.0068461551,0.0445968372,0.1113751285,0.1828043799,0.0694112313,0.4971380071,0.8872873280,0.0019964073,-0.0089112351,-1.8713593717,1.742,1,0.0397473575
3.166771,2.5224233593,2.4911847995,0.0157608455,0.0204077182,0.0311758340,-0.0046468727,0.0458958303,0.1188132134,0.1785140366,0.0718985040,0.4971804584,0.8873834564,0.0023070797,-0.0096541026,-2.0273615563,1.898,1,0.0414442558
3.208443,2.5240987082,2.4911847995,0.0156449530,0.0183373648,0.0328575464,-0.0026924119,0.0472648947,0.1260982116,0.1748399573,0.0750205759,0.4972294987,0.8874938027,0.0026483124,-0.0104428050,-2.1929890420,2.063,1,0.0434963900
3.250144,2.5257786353,2.4911847995,0.0155178539,0.0164770479,0.0345431914,-0.0009591940,0.0487041944,0.1332549470,0.1717616494,0.0787835412,0.4972857697,0.8876198141,0.0030242728,-0.0112860937,-2.3700796758,2.240,1,0.0459063203
3.291781,2.5274587777,2.4927187803,0.0153797962,0.0148054592,0.0346944909,0.0005743370,0.0501497981,0.1368564352,0.0864357164,0.0830288625,0.4973499994,0.8877560420,0.0032694698,-0.0118815808,-2.4951319588,2.365,2,0.0484407576
3.333473,2.5291432323,2.4927187803,0.0152303499,0.0133034523,0.0363835621,0.0019268976,0.0516657799,0.1437321263,0.1650165862,0.0876548285,0.4974194012,0.8879102839,0.0037018071,-0.0128109889,-2.6903076603,2.561,2,0.0513297055
3.375086,2.5308259692,2.4927187803,0.0150699624,0.0119538234,0.0380704473,0.0031161390,0.0532520485,0.1505241288,0.1630080596,0.0929204000,0.4974979357,0.8880844186,0.0041792327,-0.0138127997,-2.9006879466,2.771,1,0.0545749605
3.416787,2.5325130860,2.4957867419,0.0148979498,0.0131739569,0.0366858522,0.0017239929,0.0547806257,0.1479330726,-0.0621853484,0.0983824081,0.4975865420,0.8882575905,0.0041561237,-0.0139795058,-2.9356962110,2.806,2,0.0574802706
3.458433,2.5341981234,2.5034566458,0.0147148578,0.0215688381,0.0306751829,-0.0068539803,0.0560587583,0.1277154867,-0.4852220611,0.1023800253,0.4976745984,0.8883893799,0.0031629467,-0.0123251945,-2.5882908351,2.459,4,0.0589019659
3.500099,2.5358835299,2.5080585882,0.0145203331,0.0315449059,0.0277279843,-0.0170245728,0.0572140910,0.1124726070,-0.3658291118,0.1040146294,0.4977415722,0.8884924500,0.0024736819,-0.0109471486,-2.2989011964,2.169,3,0.0593846120
3.541777,2.5375682867,2.5111265498,0.0143143770,0.0405089062,0.0263172275,-0.0261945293,0.0583106422,0.1015274873,-0.2626828734,0.1042009557,0.4977939270,0.8885765159,0.0020175822,-0.0098922979,-2.0773825582,1.948,2,0.0592899126
3.583450,2.5392509885,2.5126605306,0.0140970550,0.0436978266,0.0264561470,-0.0296007715,0.0594129816,0.0997497696,-0.0426652261,0.1037517980,0.4978366129,0.8886574775,0.0019430770,-0.0096976152,-2.0364991912,1.907,2,0.0591106236
3.625130,2.5409315499,2.5126605306,0.0138682722,0.0392647028,0.0281503342,-0.0253964305,0.0605859122,0.1090764139,0.2238394651,0.1035901267,0.4978777092,0.8887542065,0.0023214975,-0.0105964417,-2.2252527664,2.096,2,0.0593895247
3.666870,2.5426113850,2.5141945113,0.0136277004,0.0352813173,0.0283084319,-0.0216536168,0.0617654302,0.1145824887,0.1321457940,0.1040020233,0.4979267919,0.8888611730,0.0025671949,-0.0111559377,-2.3427469261,2.213,1,0.0599375017
3.708447,2.5442809036,2.5126605306,0.0133766492,0.0317020443,0.0315229327,-0.0183253952,0.0630788857,0.1265341745,0.2868404589,0.1052940418,0.4979810476,0.8889924797,0.0031513615,-0.0124023279,-2.6044888598,2.475,1,0.0611358455
3.750124,2.5459499681,2.5141945113,0.0131135530,0.0284858870,0.0316679017,-0.0153723339,0.0643983816,0.1313898482,0.1165361701,0.1072890613,0.4980476179,0.8891354925,0.0034323061,-0.0130105323,-2.7322117877,2.603,1,0.0625687484
3.791778,2.5476129600,2.5126605306,0.0128391536,0.0255960072,0.0348737568,-0.0127568537,0.0658514548,0.1427775378,0.2733045503,0.1101182225,0.4981200838,0.8893067727,0.0041107255,-0.0143414362,-3.0117016108,2.882,1,0.0646737900
3.833455,2.5492710872,2.5141945113,0.0125531389,0.0229993044,0.0350058845,-0.0104461655,0.0673100333,0.1471297447,0.1044529653,0.1136802599,0.4982068193,0.8894918670,0.0044422630,-0.0150422725,-3.1588772268,3.029,3,0.0669762494
