t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.583556,2.4436580411,2.4405634335,0.0052434728,0.0000000000,0.0030946076,0.0052434728,0.0006690611,0.0134974790,0.0370919566,0.0003747582,0.4963659240,0.8856969191,0.0000244141,-0.0008610151,-0.0003179803,-0.0000000000,0.0000368055,0.0000000000,0.0632000000,-0.1808131733,0.051,1.000000,10.1211443054,0,0.0003236858
0.625148,2.4441119427,2.4405634335,0.0056031034,0.0000000000,0.0035485092,0.0056031034,0.0008169156,0.0151372855,0.0393553559,0.0004978864,0.4963664462,0.8856981997,0.0000307348,-0.0009684931,-0.0003397894,-0.0000000000,0.0000393298,0.0000000000,0.0632000000,-0.2033835441,0.074,1.000000,10.1211443054,0,0.0004227906
0.666804,2.4445970240,2.4405634335,0.0059603917,0.0000000000,0.0040335904,0.0059603917,0.0009849819,0.0168767476,0.0417470892,0.0006504702,0.4963671037,0.8856997934,0.0000382477,-0.0010830762,-0.0003614565,-0.0000000000,0.0000418377,0.0000000000,0.0632000000,-0.2274460119,0.098,1.000000,10.1211443054,0,0.0005441887
0.708455,2.4451123552,2.4405634335,0.0063145339,0.0000000000,0.0045489217,0.0063145339,0.0011745203,0.0187146253,0.0441090646,0.0008374301,0.4963679219,0.8857017557,0.0000470971,-0.0012048324,-0.0003829328,-0.0000000000,0.0000443235,0.0000000000,0.0632000000,-0.2530147981,0.123,1.000000,10.1211443054,0,0.0006913384
0.750137,2.4456582593,2.4405634335,0.0066656634,0.0000000000,0.0050948258,0.0066656634,0.0013868047,0.0206535965,0.0465353094,0.0010641137,0.4963689293,0.8857041498,0.0000574585,-0.0013341161,-0.0004042264,-0.0000000000,0.0000467881,0.0000000000,0.0632000000,-0.2801643772,0.151,1.000000,10.1211443054,0,0.0008680616
0.791785,2.4462336918,2.4405634335,0.0070130434,0.0000000000,0.0056702583,0.0070130434,0.0016230654,0.0226921748,0.0489258798,0.0013364329,0.4963701584,0.8857070457,0.0000695013,-0.0014710487,-0.0004252926,-0.0000000000,0.0000492264,0.0000000000,0.0632000000,-0.3089202213,0.179,1.000000,10.1211443054,0,0.0010784628
0.833477,2.4468395270,2.4405634335,0.0073571273,0.0000000000,0.0062760934,0.0073571273,0.0018845693,0.0248346523,0.0514194590,0.0016607411,0.4963716451,0.8857105226,0.0000834447,-0.0016161728,-0.0004461589,-0.0000000000,0.0000516416,0.0000000000,0.0632000000,-0.3393962881,0.210,1.000000,10.1211443054,0,0.0013270853
0.875270,2.4474765407,2.4405634335,0.0076981818,0.0000000000,0.0069131071,0.0076981818,0.0021726155,0.0270849472,0.0540070784,0.0020440738,0.4963734301,0.8857146698,0.0000995331,-0.0017700616,-0.0004668415,-0.0000000000,0.0000540355,0.0000000000,0.0632000000,-0.3717129256,0.242,1.000000,10.1211443054,0,0.0016189380
0.916777,2.4481384260,2.4390294527,0.0080328950,0.0000000000,0.0091089733,0.0080328950,0.0025521560,0.0331433984,0.1454028280,0.0024992126,0.4963755591,0.8857209007,0.0001495409,-0.0021832296,-0.0004871395,-0.0000000000,0.0000563849,0.0000000000,0.0632000000,-0.4584782154,0.329,1.000000,10.1211443054,0,0.0020902592
0.958468,2.4488323497,2.4405634335,0.0083648930,0.0000000000,0.0082689162,0.0083648930,0.0028966942,0.0319704639,-0.0281504268,0.0032210152,0.4963787578,0.8857267291,0.0001398815,-0.0021131086,-0.0005072729,-0.0000000000,0.0000587152,0.0000000000,0.0632000000,-0.4437528006,0.314,1.000000,10.1211443054,0,0.0024755863
