t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.583456,2.4482589285,2.4451653759,0.0052426045,0.0000000000,0.0030935526,0.0052426045,0.0006690188,0.0131896798,0.0360350709,0.0003567305,0.4963656719,0.8856962523,0.0000201919,-0.0007156087,-0.0002442127,-0.0000000000,0.0000442692,0.0000000000,0.0644638019,-0.1502778174,0.021,1.000000,10.2827248300,0,0.0003089453
0.625108,2.4487134375,2.4451653759,0.0056027616,0.0000000000,0.0035480616,0.0056027616,0.0008168547,0.0147821744,0.0382198699,0.0004730550,0.4963661039,0.8856973101,0.0000253875,-0.0008051678,-0.0002609897,-0.0000000000,0.0000473103,0.0000000000,0.0644638019,-0.1690852428,0.039,1.000000,10.2827248300,0,0.0004028763
0.666796,2.4491988711,2.4451653759,0.0059603240,0.0000000000,0.0040334952,0.0059603240,0.0009849170,0.0164692093,0.0404888384,0.0006170238,0.4963666470,0.8856986247,0.0000315519,-0.0009006167,-0.0002776458,-0.0000000000,0.0000503296,0.0000000000,0.0644638019,-0.1891295094,0.059,1.000000,10.2827248300,0,0.0005177723
0.708444,2.4497141582,2.4451653759,0.0063144413,0.0000000000,0.0045487824,0.0063144413,0.0011744496,0.0182491105,0.0427176284,0.0007931784,0.4963673219,0.8857002414,0.0000387991,-0.0010019967,-0.0002941414,-0.0000000000,0.0000533197,0.0000000000,0.0644638019,-0.2104193026,0.081,1.000000,10.2827248300,0,0.0006568226
0.750122,2.4502600058,2.4451653759,0.0066655414,0.0000000000,0.0050946299,0.0066655414,0.0013867259,0.0201255864,0.0450354218,0.0010064305,0.4963681519,0.8857022112,0.0000472747,-0.0011096778,-0.0003104965,-0.0000000000,0.0000562844,0.0000000000,0.0644638019,-0.2330323477,0.103,1.000000,10.2827248300,0,0.0008235707
0.791857,2.4508366496,2.4451653759,0.0070136378,0.0000000000,0.0056712737,0.0070136378,0.0016230290,0.0221008661,0.0474067140,0.0012622396,0.4963691631,0.8857045918,0.0000571349,-0.0012239839,-0.0003267116,-0.0000000000,0.0000592236,0.0000000000,0.0644638019,-0.2570366279,0.127,1.000000,10.2827248300,0,0.0010219079
0.833441,2.4514409326,2.4451653759,0.0073568314,0.0000000000,0.0062755567,0.0073568314,0.0018845105,0.0241673380,0.0495953243,0.0015666018,0.4963703853,0.8857074458,0.0000684966,-0.0013447229,-0.0003426983,-0.0000000000,0.0000621215,0.0000000000,0.0644638019,-0.2823918137,0.153,1.000000,10.2827248300,0,0.0012558294
0.875136,2.4520763898,2.4451653759,0.0076970929,0.0000000000,0.0069110139,0.0076970929,0.0021724694,0.0263367521,0.0520659390,0.0019256828,0.4963718505,0.8857108456,0.0000815950,-0.0014728359,-0.0003585485,-0.0000000000,0.0000649946,0.0000000000,0.0644638019,-0.3092955309,0.180,1.000000,10.2827248300,0,0.0015299535
0.916819,2.4527410558,2.4451653759,0.0080332331,0.0000000000,0.0075756799,0.0080332331,0.0024881227,0.0286050161,0.0544383368,0.0023466063,0.4963735959,0.8857148706,0.0000965995,-0.0016084263,-0.0003742067,-0.0000000000,0.0000678329,0.0000000000,0.0644638019,-0.3377695333,0.208,1.000000,10.2827248300,0,0.0018491076
0.958449,2.4534339756,2.4451653759,0.0083647456,0.0000000000,0.0082685997,0.0083647456,0.0028326477,0.0309709784,0.0567830952,0.0028368235,0.4963756622,0.8857196085,0.0001137103,-0.0017518168,-0.0003896493,-0.0000000000,0.0000706321,0.0000000000,0.0644638019,-0.3678815189,0.238,1.000000,10.2827248300,0,0.0022184036
